,$x$,F,I/S,$\overline{SSE}$,$t[s]$,Inf1,Inf2,$\Pi |x|$
\multirow{5}{*}{CA141},$\overline{SSE}$,PBIM,AI,$\cellcolor{green}1.16e-12$,$6.2e-02$,$3.31e-06$,$3.31e-06$,$7.83e-25$
,$t[s]$,MAT,*,$0.e+00$,$\cellcolor{green}1.84e-02$,$4.17e-08$,$4.17e-08$,$0.e+00$
,Inf1,RRBIM,AI,$3.04e-12$,$1.09e-01$,$\cellcolor{green}3.13e-09$,$3.02e-06$,$3.13e-27$
,Inf2,MAT,*,$0.e+00$,$1.84e-02$,$4.17e-08$,$\cellcolor{green}4.17e-08$,$0.e+00$
,$\Pi |x|$,RRBIM,AI,$3.04e-12$,$1.09e-01$,$3.13e-09$,$3.02e-06$,$\cellcolor{green}3.13e-27$
