,CB,SOC0,ZB,PB,SOC
0,1.2707019230769225,0.11107855600415972,26,-0.050923816377682014,0.15076020347753366
1,0.0,0.0,1,-0.3164777218895202,0.3859464389627987
2,0.0,0.0,3,0.31688507086815326,0.11708492701393564
3,0.0,0.0,25,-0.5438148262254444,0.5067778448439207
4,0.0,0.0,31,0.18379377310047765,0.35624208352922904
5,0.0,0.0,1,0.04176045618875331,0.32310110378492646
6,0.0,0.0,2,-0.07981527084009794,0.38495631898123345
7,0.0,0.0,1,-0.8058029548798086,0.9406881674563655
8,0.0,0.0,28,0.5943163763085769,0.37749573584416357
9,0.0,0.0,27,-0.4902559668296365,0.7317289122278652
10,0.0,0.0,3,0.035995755420071225,0.7031964560569742
11,0.0,0.0,4,-0.08233947117273256,0.7669776118781981
12,0.0,0.0,14,0.5835296615128744,0.21738552022976906
13,0.0,0.0,25,-0.7906305890679443,0.7638153577974864
14,0.0,0.0,18,0.03326169980015456,0.737464762941665
15,0.0,0.0,6,0.6331427021330153,0.12252975767397012
16,0.0,0.0,2,-0.7214794930566398,0.6260943064934531
17,0.0,0.0,23,-0.05885581447363787,0.6718875456188237
18,0.0,0.0,21,0.3570035290193202,0.3652924401253907
19,0.0,0.0,37,-0.37395060218407944,0.6405569665668677
20,0.0,0.0,23,0.3645771011056392,0.3267100347304548
21,0.0,0.0,39,-0.16422837893617767,0.452022830772645
22,0.0,0.0,1,-0.7931502938110084,1.0
23,0.0,0.0,25,0.7530085439780244,0.11107855600415972
