,$\overline{DC_{3}}$,"('$DC_{3}$', 'IEEE33', 'PM')","('$DC_{3}$', 'IEEE69', 'PM')","('$DC_{3}$', 'SA', 'PM')","('$DC_{3}$', 'CA141', 'PM')"
0,0.384793552454401,0.8171984352506161,0.8171984352506161,0.8171983418687612,0.7190807723841419
1,0.2965031549295744,0.5900977687480998,0.6807344194823461,0.7157349968503502,0.525781035158517
2,0.2577802043822777,0.4334931323221705,0.4468352101808347,0.4503971710415966,0.4116116856325738
3,0.2361441719211563,0.3607435543598335,0.3646220222273416,0.3657100257557097,0.3491204942400309
4,0.22788381042410927,0.3246869102115272,0.3402282823084422,0.3760057353167773,0.311369300738854
5,0.22788573463487177,0.3338998249763385,0.3549606562221809,0.4208234890247006,0.316572150013637
6,0.2763880874769114,0.5841734407047875,0.6828946906525174,1.050619023732837,0.514063947531502
7,0.37546393625667707,0.8595206964728178,0.9292234516811476,0.9680655376392191,0.7946972656605644
8,0.5263064308887843,1.126087817569163,1.20966311342958,1.209662720140197,1.037694023398199
9,0.6548520611209735,1.20966311342958,1.20966311342958,1.209663069471519,1.188026063932813
10,0.7422076759652192,1.20966311342958,1.20966311342958,1.209663096067136,1.20966311342958
11,0.8390033104383297,1.20966311342958,1.20966311342958,1.209663111211634,1.20966311342958
12,0.9574022217938994,1.20966311342958,1.20966311342958,1.20966311342958,1.20966311342958
13,0.8836790874681762,1.20966311342958,1.20966311342958,1.20966311342958,1.20966311342958
14,0.7228909276477226,1.20966311342958,1.20966311342958,1.209663090222793,1.209663036559711
15,0.6551957869477533,1.20966311342958,1.20966311342958,1.209663035899566,1.078597080161604
16,0.6168846170458573,1.145150618449454,1.20966311342958,1.209662968373254,1.008782466814423
17,0.6119501052213094,1.051752112193486,1.051752112193486,1.05175205956364,1.013724560950615
18,0.6383090609575472,1.10958543791286,1.146273721450279,1.146273596700116,1.013543444641052
19,0.7501901773586933,1.20966311342958,1.20966311342958,1.209663100279581,1.20966311342958
20,0.7989696437522847,1.20966311342958,1.20966311342958,1.209663107985549,1.20966311342958
21,0.7517660986794075,1.20966311342958,1.20966311342958,1.209663096967723,1.20966311342958
22,0.6586824796290432,1.106459645798862,1.173688260516518,1.209662429606172,1.039558444884189
23,0.521607393374869,0.9538624597299841,1.051768376587475,1.051768117346109,0.865009029386258
