,$p(\overline{DC_{5}})$,"('$p(DC_{5})$', 'IEEE33', 'PM')","('$p(DC_{5})$', 'IEEE69', 'PM')","('$p(DC_{5})$', 'SA', 'PM')","('$p(DC_{5})$', 'CA141', 'PM')"
0,0.5445506404574447,0.9896954447116658,0.9966085547949336,0.996608551370324,0.9772826971864395
1,0.5740354993407886,0.9897538587203109,0.9940328695092826,0.9957898315232954,0.9846254455875212
2,0.5816027722114043,0.9956541971885764,0.9974092342798356,0.9984825798002189,0.9934385002398376
3,0.5852419485759967,0.9968270888064551,0.9975905205934369,0.9978738562944663,0.9956760637422412
4,0.6044019761366253,0.9989981487724776,0.9992977140721873,0.999402734091992,0.9984741021462273
5,0.6392358949174144,0.9990833289110753,0.9996165498322355,0.9999859699537024,0.9982247036745475
6,0.6406733614506924,0.9975848269233649,0.9984097169856375,0.9989011179309973,0.9966367344177138
7,0.5917130996939212,0.9864355290961077,0.9901353263318124,0.99525094581604,0.98257410423917
8,0.5518334856375007,0.9885325259309379,0.9953238308912883,0.9982741855802725,0.9801026108423748
9,0.5450993544688972,0.9952428610874668,0.9953115619393044,0.9953115585449512,0.9883904750759566
10,0.5,0.9996455111719992,0.9998373774016043,0.9998373770252598,0.9976073525476932
11,0.5,0.9986977453489269,0.9986977453489269,0.9986977439029462,0.9966808076279793
12,0.5,0.9990017293163798,0.9994239989769002,0.9994239978688061,0.9963127073263175
13,0.5,0.9971603453669206,0.9981061969990652,0.9981061943194293,0.9911964690958063
14,0.5,0.9983349639866766,0.9983349639866766,0.9983349628555613,0.9956458605843563
15,0.5,0.9961424617556506,0.9961424617556506,0.9961424603874302,0.9961424617556506
16,0.46883588328504255,0.9987267677950152,0.9987267677950152,0.9987267671769194,0.9987267677950152
17,0.46877002907374743,0.9999044068027588,0.9999044068027588,0.9999044066243201,0.9996425810643415
18,0.4682711795371771,0.996478157215034,0.998896504652848,0.9997591204030079,0.9928122811662163
19,0.461424086867971,0.9986377895985207,0.9986377895985207,0.9986377891101355,0.9977653770799751
20,0.4446982809637765,0.9338775763985693,0.9338775763985693,0.9338775763985693,0.003115282968874311
21,0.4241359405486731,0.0003873920611824473,0.0003873920611824473,0.0003873920611824473,0.0003873920611824473
22,0.43339764899588945,0.7721868993266323,0.7721868993266323,0.7721868993266323,0.7721868993266323
23,0.5,0.9598456108831445,0.9598456108831445,0.9598456108831445,0.9598456108831445
