,$p(\overline{DC_{4}})$,"('$p(DC_{4})$', 'IEEE33', 'PM')","('$p(DC_{4})$', 'IEEE69', 'PM')","('$p(DC_{4})$', 'SA', 'PM')","('$p(DC_{4})$', 'CA141', 'PM')"
0,0.5431520624140065,0.9818974198529327,0.9896082686621401,0.9896082650589052,0.952535346845594
1,0.5341171979536156,0.9938699829014934,0.9975633846140295,0.9989936948738379,0.9855456835636804
2,0.5656496043358744,0.994154547384802,0.9964668154425456,0.998305960930401,0.9899865670840103
3,0.5861461310907946,0.9973802534911587,0.9984363327280955,0.9990780459525104,0.9953657670350398
4,0.6037296729639602,0.99853095195226,0.9990010222135509,0.9991985496591357,0.997585562384485
5,0.6387046116899884,0.9983217840051873,0.9992765934478168,0.9999641984248209,0.9961269133927618
6,0.6229851647200675,0.9949576278349729,0.9972380089995585,0.999106397459312,0.9907628702458448
7,0.5788040263899904,0.9757452259631674,0.9833757710296482,0.9917873882031961,0.9634113354081227
8,0.5465906326590937,0.9742855685786695,0.9856589348533676,0.9961189268657424,0.9545590085172379
9,0.5405356443440122,0.9762876762549764,0.9935501901509407,0.9977179837795241,0.9410765294931734
10,0.5404586987260195,0.9722891740858937,0.9884864257613152,0.9929011263164811,0.9430010361720778
11,0.5287930515127051,0.9812086905567512,0.9932342775618874,0.994198899181823,0.9550586817238723
12,0.528826500332475,0.9738293151835635,0.9738293151835635,0.9738293130055702,0.9356964360598432
13,0.528150921103712,0.9605675490009085,0.9605675490009085,0.9605675484217282,0.9310438180316257
14,0.5261152619082663,0.9786621128487779,0.9861317906249355,0.9861317873520745,0.94905391750378
15,0.5273281387961655,0.9778109228543416,0.9939640059923778,0.9939640023947848,0.9406548331004331
16,0.5256499113812909,0.9814096721708074,0.9931048539133208,0.9969473578987516,0.9542218683161112
17,0.5253576875527564,0.9840939888306122,0.9953115395163794,0.9959933809082818,0.9625677842207332
18,0.5091460660816685,0.9775666153908125,0.9899374596605182,0.989937455530818,0.9482651842847611
19,0.5,0.939869183592868,0.939869183592868,0.939869183592868,0.939869183592868
20,0.41868250878257,0.7491298317218226,0.7491298317218226,0.7491298317218226,0.7491298317218226
21,0.4360871289984176,0.8048903649401927,0.8048903649401927,0.8048903649401927,0.0006588611857118932
22,0.45523407836819507,0.9638802215025367,0.9638802215025367,0.9638802215025367,0.9592621286217514
23,0.4749342052869724,0.9846508144468505,0.9980346727338221,0.9985947340653425,0.9323030986069792
