,$P_{loss}$,$\Sigma p(I_{pv})$,$1/\Sigma p(DC)$,$t[s]$,Inf1,Inf2,$\Pi |x|$
PM,6.502267707870288,0.1597201518470208,0.008853817933004915,2288.406,1.3696900505444083e-06,1.369802407145015e-06,3.9479209798628326e-11
REBF,6.843409874668682,0.1449071864780239,0.008646537881458069,27.89499998092651,2.7866611199568042e-11,2.2594696411255832e-06,1.505988858888319e-17
Meta,5.8591933339940745,0.6697450238942892,0.009736722185821126,171.9726166,4.544242582595927e-08,4.5222486034272464e-08,1.3503157778048616e-14
