,$P_{loss}$,$\Sigma p(I_{pv})$,$1/\Sigma p(DC)$,$t[s]$,Inf1,Inf2,$\Pi |x|$
PM,4.410192493233893,0.07736469288305424,0.008843942634733735,59.032,1.0789745766530987e-06,1.07922147628406e-06,2.0742235302134805e-13
REBF,4.735397406113186,0.0856587133518159,0.008593284150820378,3.440999984741211,5.382042441681148e-07,1.921472305610461e-05,1.2403751861395257e-13
Meta,3.889234434811005,0.9250350339562551,0.009372377142031573,169.1625555,1.2575562384454456e-08,1.2267156563186545e-08,8.799289796470877e-16
