,$x$,F,I/S,$\overline{SSE}$,$t[s]$,Inf1,Inf2,$\Pi |x|$
\multirow{5}{*}{SA},$\overline{SSE}$,RM,AI,$\cellcolor{green}5.35e-10$,$2.81e-01$,$3.37e-04$,$3.37e-04$,$1.70e-17$
,$t[s]$,MAT,*,$0.e+00$,$\cellcolor{green}2.21e-02$,$5.22e-07$,$5.22e-07$,$0.e+00$
,Inf1,MAT,*,$0.e+00$,$2.21e-02$,$\cellcolor{green}5.22e-07$,$5.22e-07$,$0.e+00$
,Inf2,MAT,*,$0.e+00$,$2.21e-02$,$5.22e-07$,$\cellcolor{green}5.22e-07$,$0.e+00$
,$\Pi |x|$,PBIM,AI,$5.42e-10$,$2.5e-01$,$3.17e-04$,$3.17e-04$,$\cellcolor{green}1.37e-17$
