,dv,dph,dpg,dqg,dpl,dql
PM,0.0,0.0,0.0,0.0,0.0,0.0
REBF,4.583640593372869e-05,0.0003365256540837623,6.5522279903529415e-06,2.8214255929032457e-06,0.1748484172718665,0.03646227335589543
Meta,0.00023136652940063948,2.009166756235356e-05,2.6622441335193092e-05,1.1463771696651115e-05,1.0941292493591286,0.12633882054103932
