,CB,SOC0,ZB,PB,SOC
0,1.270701923076923,0.0,3,-0.04826660421435099,0.03763016240287367
1,0.0,0.0,23,0.04736257832559577,0.0
2,0.0,0.0,1,-1.462327723662979,0.9273750497936797
3,0.0,0.0,23,0.3446357156573708,0.6325319028933795
4,0.0,0.0,2,0.3716474600269249,0.3118758139564788
5,0.0,0.0,23,0.3235248530150084,0.03684477529097222
6,0.0,0.0,1,-1.332255372552966,0.8949321106782756
7,0.0,0.0,29,0.4153367434909613,0.5312992690998394
8,0.0,0.0,23,0.4555280042395768,0.1265849586461164
9,0.0,0.0,1,-1.360717122517338,1.0
10,0.0,0.0,19,0.1610088404655694,0.8688395521719626
11,0.0,0.0,19,0.194945778683527,0.7087361080338676
12,0.0,0.0,19,0.2482132763590955,0.5021100209199346
13,0.0,0.0,23,0.2969281423246738,0.251622785344543
14,0.0,0.0,23,0.2981693476817223,0.0
15,0.0,0.0,1,-0.7174094839682802,0.50101717438897
16,0.0,0.0,1,-0.7141623054626122,1.0
17,0.0,0.0,28,1.885453629832189e-08,0.9999999938880473
18,0.0,0.0,32,0.0433757860592401,0.9655656709689141
19,0.0,0.0,31,0.2021185217024677,0.7992781695235391
20,0.0,0.0,29,0.3083069623764572,0.5383451306139743
21,0.0,0.0,29,0.313611720847939,0.2725146171432648
22,0.0,0.0,31,0.2462189672366325,0.06765615016016656
23,0.0,0.0,32,0.08449123053415192,0.0
