v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,ph1,ph2,ph3,ph4,ph5,ph6,ph7,ph8,ph9,ph10,ph11,ph12,ph13,ph14,ph15,ph16,ph17,ph18,ph19,ph20,ph21,ph22,ph23,ph24,ph25,ph26,ph27,ph28,ph29,ph30,ph31,ph32,ph33,ph34,ph35,ph36,ph37,ph38,ph39,ph40,ph41,ph42,ph43,pl,ql,pg,qg,t
1,0.999083215085574,0.998882478322099,0.99879436098442,0.998649394340663,0.998559823187471,0.998437428470258,0.998432513057427,0.998430215852135,0.998259190721709,0.99830632612429,0.998231008755469,0.998207483738224,0.998175845645828,0.998125914253409,0.998114844334478,0.998106262198189,0.998101999494096,0.998097483656269,0.998096081427017,0.998113278230061,0.998010976150234,0.99806169970148,0.998054933939319,0.998052811687116,0.998064849755357,0.998076278813485,0.998041295688437,0.998024804324639,0.998024510222147,0.998020575198526,0.998018887743945,0.998074591453083,0.998105460687409,0.998120666948951,0.998119358104835,0.998122737656322,0.998130103254244,0.998148495791061,0.998161550655217,0.998203198726063,0.99819926875722,0.998231070370785,0,-0.000141568977451423,-0.000172600815199827,-0.000186226539247725,-0.000208647802034717,-0.000222504527995603,-0.000241442883476168,-0.000242203793449631,-0.000242559404773578,-0.000269029750663152,-0.000261733391927367,-0.000273392504023141,-0.000277034500294616,-0.00028193273145059,-0.000289663704629702,-0.000291377781813651,-0.000292706666742908,-0.000293366723725427,-0.000294066014137472,-0.000294283154496945,-0.000291620294627009,-0.000307462128625638,-0.000299607123088233,-0.000300654850034636,-0.00030098349829507,-0.000299119379283038,-0.000297349592504548,-0.000302766844451706,-0.000305320727568161,-0.000305366273738426,-0.000305975670491898,-0.00030623699917865,-0.000297610892022371,-0.000292830902184058,-0.000290476391343687,-0.000290679065964084,-0.000290155743047316,-0.000289015268165647,-0.000286167457207964,-0.000284146157001392,-0.000277698005900584,-0.000278306511569578,-0.000273383025098964,0.00122445820678507,0.000803496112866675,0.735485940950525,0.335225199979391,0.0220691
1,0.999347902556079,0.999204815278983,0.999141862015358,0.999038045356993,0.998973958307115,0.99888616238314,0.998882470330288,0.998880734182737,0.998758731583438,0.998792400384673,0.998738459451822,0.998721573143308,0.998698951369683,0.998663416161683,0.998655563724046,0.998649515307595,0.998646524734817,0.998643143793701,0.998642093965532,0.998654391199217,0.998584018560307,0.998618876398494,0.998614240259974,0.998612811144774,0.998621366360158,0.998629391801144,0.998604850302289,0.998593431207238,0.998593204715252,0.998590524891751,0.998589365249347,0.998628232203874,0.998649762517236,0.998660365013936,0.998659385095941,0.998661921605654,0.998667171192374,0.998680343207269,0.99868963813409,0.998719141677256,0.998716440803265,0.998738811329062,0,-0.000100722121095079,-0.000122840607148228,-0.000132573837800472,-0.00014862747277018,-0.000158539178202533,-0.000172119662321797,-0.000172690938528312,-0.000172959576089286,-0.000191834952213415,-0.000186625445671829,-0.000194971777236816,-0.000197584781084805,-0.000201085408146404,-0.000206584619889251,-0.000207799865735722,-0.000208735929812241,-0.000209198759533995,-0.000209722022579116,-0.000209884503508542,-0.000207981334056169,-0.000218872828034923,-0.000213477783912794,-0.000214195325469923,-0.000214416512571808,-0.000213092439275799,-0.000211850371699624,-0.000215648628599991,-0.000217416014830778,-0.000217451070530169,-0.000217865844729506,-0.000218045330962825,-0.000212029843962058,-0.000208697729367757,-0.000207056906407188,-0.000207208564788922,-0.000206815998822218,-0.000206003582585854,-0.000203965133613778,-0.000202526714317893,-0.000197961085091874,-0.000198379065031347,-0.000194917356014917,0.000621783117426666,0.000408017452235399,0.523165414677578,0.238402159769578,0
1,0.999458293808925,0.999339284539667,0.999286857520349,0.999200282515587,0.999146868388636,0.999073588512524,0.999070379351,0.999068852645601,0.998967555605391,0.998995544027296,0.998950601397552,0.998936510961054,0.998917697759459,0.998888264935129,0.998881783604719,0.998876820161394,0.998874377929543,0.998871456908898,0.998870549892346,0.998880770580233,0.998824412150218,0.998852268814088,0.998848559822193,0.998847437880501,0.998854465087466,0.998861022360382,0.998841045456474,0.998831863912519,0.998831667047121,0.998829541325476,0.998828614595364,0.998860095659477,0.998877567290207,0.998886174464354,0.99888532784573,0.998887529705312,0.998891883882397,0.998902854706788,0.998910571428381,0.998934936670586,0.99893277821318,0.998951115983539,0,-8.36803318369705e-05,-0.000102076391901741,-0.000110181702272235,-0.000123568095260637,-0.000131828226474021,-0.000143161832172346,-0.000143658296849615,-0.000143894482580204,-0.000159563841458534,-0.000155234037903248,-0.000162186765360431,-0.000164366706008535,-0.000167277385910704,-0.000171831272478734,-0.000172834107215473,-0.000173602090486193,-0.000173979974038362,-0.000174431952813843,-0.000174572298836563,-0.000172990854616681,-0.000181711391091194,-0.000177400945142486,-0.000177974857801784,-0.000178148462563943,-0.000177061122899943,-0.00017604650688382,-0.000179137600978226,-0.00018055833573221,-0.000180588798650415,-0.000180917732300858,-0.000181061134693045,-0.000176189900237082,-0.000173486525424678,-0.000172154782495562,-0.000172285780993613,-0.000171945084531726,-0.000171271385373795,-0.000169573945857263,-0.000168380009923863,-0.000164610299815963,-0.000164944264677387,-0.000162107171952486,0.00042960290598959,0.000281907755713684,0.43460885029549,0.198030213140555,0
1,0.999509268160322,0.999401357933391,0.999353774115703,0.999275116335827,0.999226592291403,0.999159948354645,0.999156968952615,0.99915555104574,0.999063670798089,0.99908907386694,0.999048231740381,0.999035412401888,0.999018330331326,0.998991670558757,0.998985808812689,0.998981335243421,0.998979138932545,0.998976427596855,0.998975585690353,0.998984868507134,0.998934723086444,0.998959504020206,0.998956214115476,0.998955228829769,0.998961580491349,0.998967477471581,0.998949532221651,0.998941346114918,0.998941165792614,0.998939279969874,0.998938455562139,0.998966653087116,0.99898231338652,0.998990024913211,0.998989239068095,0.998991283169829,0.998995228750211,0.999005195191823,0.999012187958655,0.999034212321708,0.999032292164622,0.99904880943832,0,-7.58097836956218e-05,-9.24899937509813e-05,-9.98463414917076e-05,-0.000112008094585983,-0.000119511627195434,-0.00012981827237718,-0.000130279152912156,-0.000130498488187931,-0.000144710099739257,-0.000140780580400642,-0.000147098410384,-0.000149081519379196,-0.000151724122399891,-0.000155848559024207,-0.000156755436712106,-0.000157447552928271,-0.000157787350936939,-0.000158206840514978,-0.000158337098130686,-0.00015690091701066,-0.000164659277476931,-0.000160825171080348,-0.000161334181824638,-0.000161486624663004,-0.000160503916670522,-0.000159591563285361,-0.000162368001011558,-0.000163634566401691,-0.000163662466386233,-0.00016395424617215,-0.000164081801166538,-0.000159719111078946,-0.000157296250866631,-0.000156103205442661,-0.000156224787729714,-0.000155908534188293,-0.000155298115675152,-0.000153756228814167,-0.000152674408470458,-0.000149267194072667,-0.000149564258667306,-0.000147009057278371,0.000353127987589907,0.00023172449970188,0.393715736102649,0.179389963027802,0
1,0.999536536090111,0.999434591583498,0.999389624305947,0.999315267241871,0.999269409373635,0.999206405489824,0.999203559606532,0.99920218962057,0.999115467084727,0.999139451381045,0.999100867646319,0.999088758004107,0.999072629820532,0.999047474413268,0.999041951622054,0.999037741087157,0.999035678046192,0.999033103835227,0.999032304507828,0.999041058871622,0.998994181250971,0.999017314990561,0.999014234145285,0.999013318015934,0.999019293759312,0.999024835114183,0.999007989163176,0.999000327194499,0.999000153190173,0.998998398385929,0.998997628776525,0.999024065525144,0.999038752060597,0.9990459920908,0.99904524598897,0.999047195977883,0.999050923112369,0.999060342829798,0.999066946742368,0.99908771433639,0.999085921802071,0.999101462288469,0,-7.15992945889221e-05,-8.7357264931105e-05,-9.43090064987626e-05,-0.000105805569295511,-0.000112896625437939,-0.000122640006708737,-0.000123080212909904,-0.000123292125443285,-0.000136705412456137,-0.000132995526743457,-0.0001389637329826,-0.000140836962818063,-0.000143331873938775,-0.000147223371929741,-0.000148077763249649,-0.000148729149273171,-0.000149048311166818,-0.00014944656269619,-0.00014957022556643,-0.000148215878248472,-0.000155468242472107,-0.000151889197030615,-0.000152365834929321,-0.000152507569760636,-0.000151583074691913,-0.000150725789940116,-0.000153331999663051,-0.000154517400482242,-0.000154544321341535,-0.000154815813555415,-0.000154934882930896,-0.000150844853013857,-0.000148572772813012,-0.00014745273232254,-0.000147568159247294,-0.000147266483273162,-0.000146689891262489,-0.000145232664149261,-0.000144211055120286,-0.000140998429434573,-0.000141275734853849,-0.000138871761271651,0.000315028359685776,0.000206723317339508,0.37184034146992,0.16941909706776,0
1,0.999539344298843,0.999437983396066,0.999393257741227,0.99931927272938,0.999273647526764,0.999210938527295,0.999208066683991,0.99920665023214,0.999120539924207,0.999144364025618,0.999106009894066,0.999093980598588,0.999077963624729,0.999052989692574,0.999047521124754,0.999043355214744,0.999041321150671,0.999038757368441,0.999037961279305,0.999046631990992,0.999000650334989,0.999023291549487,0.999020259670489,0.999019368694842,0.999025267470354,0.999030732036734,0.999014146171494,0.999006634260133,0.999006460255437,0.999004746516321,0.999003993292077,0.999029978832082,0.999044428804579,0.999051570649784,0.999050827570534,0.999052789929924,0.999056498564035,0.999065872440745,0.99907243818762,0.999093043038659,0.999091288666053,0.999106661599092,0,-7.11656510587834e-05,-8.68334027262978e-05,-9.37477821824073e-05,-0.000105186802109097,-0.000112241865047487,-0.00012193961759429,-0.000122383837307368,-0.000122602936301199,-0.000135921482651778,-0.000132236390585417,-0.000138169057499783,-0.000140029850487916,-0.000142507547201068,-0.000146370953139085,-0.000147216951737927,-0.000147861430881889,-0.000148176108301618,-0.00014857274418016,-0.000148695905365919,-0.000147354506444836,-0.000154468216882078,-0.000150965391455672,-0.000151434451043722,-0.000151572293511802,-0.000150659710982635,-0.000149814310512173,-0.000152380268353369,-0.000153542446338732,-0.000153569367085436,-0.000153834504290543,-0.000153951037911345,-0.000149930838070705,-0.000147695367285279,-0.000146590521537458,-0.000146705480207028,-0.000146401892138165,-0.000145828164923247,-0.000144378036367535,-0.000143362336385372,-0.000140174901392136,-0.000140446301739386,-0.000138068258621515,0.000311275464602634,0.000204260647243881,0.369587470594865,0.168392266543265,0
1,0.999478536240235,0.999363795727575,0.999313166448299,0.999229415950514,0.9991778204821,0.999106907898091,0.99910358004668,0.999101840438525,0.999004930113529,0.999031759569846,0.998988513689307,0.998974982542515,0.998956958900923,0.998928842859201,0.998922723262162,0.998918062259595,0.99891580451898,0.998912931649142,0.998912039584075,0.99892172693609,0.998871171278549,0.998895872025003,0.998892488348959,0.99889151864884,0.998898057208408,0.998904133216168,0.998885780245279,0.99887751013102,0.998877299064522,0.998875450671133,0.998874628930829,0.998903311499459,0.998919287224651,0.998927240835841,0.998926408172746,0.998928666510539,0.998932865183086,0.998943466098633,0.998950891813331,0.998974087552254,0.99897217361509,0.998989363720124,0,-8.05550069607341e-05,-9.8291160239631e-05,-0.000106118472699039,-0.000119067982506859,-0.000127046737142547,-0.000138013991823405,-0.000138528800860234,-0.000138797914318069,-0.00015378829816456,-0.000149637911262019,-0.000156327944528681,-0.000158421288934389,-0.000161209718643499,-0.000165559717097805,-0.000166506546842186,-0.000167227707011214,-0.000167577031122688,-0.000168021540939857,-0.000168159567732941,-0.000166660704144777,-0.000174483030484098,-0.000170661087216474,-0.000171184639537576,-0.000171334680504234,-0.000170322991600241,-0.000169382880159176,-0.000172222579982813,-0.000173502224819401,-0.000173534883720923,-0.000173820890607317,-0.000173948041012858,-0.000169510023262873,-0.00016703820701943,-0.000165807631945299,-0.000165936465787947,-0.000165587044764988,-0.000164937429696982,-0.000163297283220612,-0.000162148413585019,-0.00015855977342465,-0.000158855893565656,-0.000156196454452153,0.000398071535006483,0.000261216699146027,0.418369892372425,0.190627798622472,0
1,0.999345794083967,0.999201736205173,0.999138119896788,0.999032798166367,0.998967992220375,0.998878846338367,0.998874590250195,0.998872358113234,0.998750835260113,0.998784498011319,0.998730173761169,0.998713162016591,0.998690537021368,0.998655309620308,0.998647655633773,0.998641842312316,0.998639033696283,0.998635366605943,0.998634227924503,0.998646383870938,0.998584216215867,0.998614511578091,0.998610339820231,0.998609157850435,0.998617339635015,0.998624910580082,0.998602066023782,0.998591824237791,0.99859153742899,0.998589298320836,0.998588290460478,0.998623902755665,0.998643716313922,0.998653586144308,0.998652523291031,0.998655410511872,0.998660676526721,0.998673997207113,0.998683309406468,0.998712316868813,0.998709969491275,0.998731379101675,0,-0.000101047334936101,-0.000123315874892259,-0.000133151662299668,-0.000149438171316174,-0.000159461157373784,-0.000173250636906721,-0.000173909191688548,-0.00017425457739946,-0.000193055967319223,-0.000187847327518859,-0.000196253089120558,-0.000198885541584258,-0.000202386718732923,-0.000207838374885803,-0.000209022924513427,-0.000209922616923698,-0.000210357291988435,-0.000210924846137513,-0.000211101080177314,-0.000209219753175131,-0.000218841436865052,-0.000214152519028862,-0.000214798191070455,-0.00021498112764059,-0.000213714837548005,-0.000212543100077266,-0.000216078749580755,-0.000217663923224737,-0.000217708314637917,-0.000218054876953734,-0.000218210870975117,-0.000212699082972995,-0.000209632633061603,-0.00020810517822352,-0.000208269673316855,-0.000207822826183682,-0.000207007856849119,-0.00020494637493085,-0.000203505265965617,-0.000199016358070202,-0.000199379634340545,-0.000196066592987279,0.000626967073563023,0.00041141919235077,0.524856693158313,0.239173498568618,0
1,0.999226667142827,0.999055992942212,0.998980444832432,0.998855059849959,0.998778132297817,0.998672040491007,0.998666962157864,0.998664676814556,0.998519560360176,0.998559779596264,0.998494795896818,0.998474238294802,0.998447100514019,0.998405234968398,0.998396044936786,0.998389142445529,0.998385765056585,0.998381011918127,0.998379536003742,0.998394396531966,0.998321294046634,0.998357285197202,0.998352517810861,0.998351125885016,0.998361178508809,0.998370307003737,0.998342582688516,0.998330198779091,0.998329796639558,0.998327197970461,0.998326000624536,0.998369109709513,0.998392896232091,0.998404520289522,0.998403142667973,0.998406648091395,0.998412829032786,0.99842863909761,0.998439626513546,0.998473881455099,0.998471092817845,0.99849640699073,0,-0.00011943216688987,-0.000145815559443872,-0.000157496797239346,-0.000176887514220535,-0.000188786655901181,-0.000205199824757718,-0.000205985770278335,-0.000206339462295833,-0.000228795294331168,-0.00022257089812493,-0.000232628121675297,-0.000235809977289226,-0.00024001045660026,-0.000246490942169124,-0.000247913562794096,-0.000248982083131987,-0.000249504914181184,-0.000250240742051233,-0.000250469227920623,-0.000248168748014037,-0.000259485683884986,-0.000253913774395183,-0.000254651821120991,-0.00025486730810973,-0.000253311075832765,-0.00025189792735743,-0.000256189901656941,-0.000258107120186019,-0.000258169378457708,-0.000258571697874566,-0.000258757068635288,-0.000252083282110214,-0.000248401048918963,-0.000246601680577032,-0.000246814944740377,-0.000246272284929264,-0.000245315492315124,-0.000242868176826888,-0.000241167422483145,-0.00023586525695465,-0.000236296924903276,-0.000232378795976353,0.000880949025738431,0.000578083526165507,0.620416621717254,0.282747556250683,0
1,0.999104178217889,0.998906040989849,0.998818137883037,0.998671903368757,0.998582299889043,0.998458419685415,0.998452404295856,0.998449991370556,0.998280456533607,0.998327480378241,0.998251380658142,0.998227127871261,0.998195311966387,0.998146614453542,0.998135862117138,0.998127866515978,0.998123926950206,0.99811800285766,0.998116163345733,0.99813380762679,0.998050451231362,0.998091821492239,0.99808652400378,0.998084957679312,0.998096879743861,0.998107536194369,0.998075064121427,0.998060694453205,0.998060193959534,0.998057245157323,0.998055868861371,0.998106159967763,0.998133803886295,0.998147130528792,0.998145413534263,0.998149612851658,0.998156742420515,0.998175151066304,0.998187871050981,0.998227492180567,0.998224286840939,0.99825352834696,0,-0.00013833064342698,-0.000168959895142629,-0.000182552237087301,-0.000205169364035752,-0.000219030910301689,-0.000238199001155433,-0.000239130168920543,-0.00023950368645866,-0.000265743146917018,-0.000258464116058208,-0.000270244257472738,-0.000273998909204886,-0.000278924649527783,-0.00028646452954077,-0.000288129419236665,-0.000289367472366208,-0.000289977487461255,-0.000290894829773347,-0.000291179679106899,-0.000288447552392367,-0.000301355271659398,-0.000294948901249834,-0.000295769229802314,-0.000296011779695885,-0.00029416565912081,-0.000292515547513301,-0.000297543831570447,-0.000299769071408681,-0.000299846577552954,-0.000300303226920747,-0.00030051636000582,-0.000292728659121183,-0.000288448197627001,-0.000286384764032893,-0.000286650633728417,-0.000286000387702825,-0.000284896475994526,-0.000282046211518399,-0.000280076794113607,-0.000273942571312475,-0.000274438865294281,-0.000269911818503618,0.00118841536740177,0.000779844606285884,0.718669013234603,0.327558641651592,0
