,$P_{loss}$,$\Sigma p(I_{pv})$,$1/\Sigma p(DC)$,$t[s]$,Inf1,Inf2,$\Pi |x|$
PM,5.297338529195557,0.10981646996946706,0.00891401035382171,12.891,4.949840177338044e-07,4.949829287836938e-07,1.6378206670378184e-14
REBF,5.726070574523154,0.08331401914384338,0.00861333954796449,15.2590000629425,5.532688390329915e-09,2.3542391416365993e-06,8.16693711821688e-16
Meta,4.862959964825658,0.9932471078373786,0.009899354510182786,142.4911424,2.0450394162818686e-08,2.0434794905689613e-08,2.8472441889064078e-15
