,$P_{loss}$,$t[s]$,Inf1,Inf2,$\Pi |x|$
PM,3.9879398489838707,3073.437,1.4467226461950533e-11,1.2000258425848287e-11,2.1278881342611075e-18
REBF,5.1755528917485885,21601.26300001144,1.4664420789375736e-06,2.501477683908293e-06,4.1010724595327144e-07
Meta,6.116160845437544,251.0442907,1.5862544524430922e-09,1.5715895069698393e-09,3.8277293461400725e-15
