,$x$,F,I/S,Gap,$P_{loss}$,$t[s]$,Inf1,Inf2,$\Pi |x|$
\multirow{5}{*}{IEEE69},$P_{loss}$,PM,AB,$2.28e-02$,$\cellcolor{green}2.16e+00$,$2.16e+04$,$3.88e-08$,$3.88e-08$,$7.01e-11$
,$t[s]$,REBF,G,$5.57e-01$,$3.13e+00$,$\cellcolor{green}1.00e+02$,$2.85e-10$,$5.88e-06$,$5.25e-13$
,Inf1,REBF,G,$5.57e-01$,$3.13e+00$,$1.00e+02$,$\cellcolor{green}2.85e-10$,$5.88e-06$,$5.25e-13$
,Inf2,PM,AB,$2.28e-02$,$2.16e+00$,$2.16e+04$,$3.88e-08$,$\cellcolor{green}3.88e-08$,$7.01e-11$
,$\Pi |x|$,REBF,G,$5.57e-01$,$3.13e+00$,$1.00e+02$,$2.85e-10$,$5.88e-06$,$\cellcolor{green}5.25e-13$
