,$P_{loss}$,$t[s]$,Inf1,Inf2,$\Pi |x|$
PM,0.1129280819014156,0.375,4.020082655051835e-08,4.017566383077984e-08,6.839608814224824e-17
RM,0.1129283466713957,0.344,4.7186416802328365e-08,4.7210622179070207e-08,8.654024810599083e-17
RRM,0.1129489953453628,8.281,1.4747195850009671e-10,4.220107529686948e-08,5.821007005669787e-18
PBIM,0.1129283446635012,0.344,7.30272558093826e-08,7.305644746334176e-08,2.0725496140199435e-16
RBIM,0.112928345753389,0.359,5.8817501072666746e-08,5.883445296681038e-08,1.402929036161026e-16
RRBIM,0.1129334551470009,9.453,1.5330991744591017e-10,6.796557721008549e-09,1.1123758013360308e-18
BF,0.1129279718906226,0.3159999847412109,1.8095025309216835e-06,13.877784445119799,8.961236160772421e-07
RERCM,0.1060370819966042,0.312,0.09592336471385829,0.1219141988671987,0.0003868931631529403
RERRM,0.002744971148832678,1.031,0.012089158502562434,0.3225865272431775,1.1036687513202221e-05
RERCBIM,0.1083152680245688,0.203,0.042669121990985354,0.1111637854407884,0.00010429482274616968
RERRBIM,0.05320256217780114,2.547,0.16425516407572943,0.25382607366889776,0.005649587732534999
REBF,0.1129281694479733,0.1059999465942383,1.8172956069251216e-08,13.877743931042811,3.018925398990259e-09
Meta-GA,0.11294675555217558,7.5595441,3.644496349185819e-08,3.633994361492518e-08,1.1308138882003825e-15
Meta-GWO,0.11474703428327301,18.2862021,3.7918888778584216e-08,3.7840646557525736e-08,3.010780780736104e-15
Meta-PSO,0.11294641353729135,7.6043688,3.63768707774487e-08,3.635700402242489e-08,1.1359233890351364e-15
Meta-WOA,0.11347087730809058,18.1328813,3.501579882417196e-08,3.4951441973778965e-08,2.518142875445473e-15
