,CB,SOC0,ZB,PB,SOC
0,1.270701923076923,0.1594024596620904,32,0.1941309764307742,0.0
1,0.0,0.0,2,-0.1397931225285181,0.1071407694348568
2,0.0,0.0,29,0.1323940623889875,0.0
3,0.0,0.0,1,-0.7159355869114283,0.5000939994838848
4,0.0,0.0,1,-0.7156355083152316,1.0
5,0.0,0.0,32,0.1362521723670953,0.8896402928004657
6,0.0,0.0,31,0.341064875392646,0.5981698555207489
7,0.0,0.0,31,0.3446237286126001,0.3033380457189421
8,0.0,0.0,31,0.3535874496302884,0.0
9,0.0,0.0,1,-1.494940244247222,0.9444481406124693
10,0.0,0.0,31,0.7530085542644616,0.05555928156150103
11,0.0,0.0,1,-1.494926030217891,1.0
12,0.0,0.0,31,0.2796037222926364,0.7652662966606475
13,0.0,0.0,31,0.3080537960622679,0.5045665416832669
14,0.0,0.0,31,0.3095200363180701,0.242515137826849
15,0.0,0.0,31,0.2881855512667334,0.0
16,0.0,0.0,1,-1.602614202248288,0.9999999945788648
17,0.0,0.0,32,0.3248611769682747,0.7237237774077985
18,0.0,0.0,31,0.3964693237283586,0.3788486936708663
19,0.0,0.0,31,0.4304066225369513,5.538042330809569e-09
20,0.0,0.0,1,-1.602614201770576,1.0
21,0.0,0.0,31,0.3091296733447806,0.7383085874342238
22,0.0,0.0,31,0.3425236581710262,0.4454613913088953
23,0.0,0.0,31,0.3353156995761573,0.1594024596620904
