,$P_{loss}$,$t[s]$,Inf1,Inf2,$\Pi |x|$
PM,2.923311188346709,20.594,6.681381749416501e-07,6.681372767842336e-07,2.6874955030389915e-11
RM,2.9233111882892757,18.734,6.760295025816029e-07,6.760282272237454e-07,2.5028570406743097e-11
RRM,2.923311192670731,25.469,3.695993651964269e-07,3.69598026883286e-07,1.0170628786720439e-11
PBIM,2.9233111883397953,20.235,6.681359560724645e-07,6.681277105158832e-07,2.6405998000863582e-11
RBIM,2.9233111882899565,21.063,6.756397902896519e-07,6.756353328626029e-07,2.8107540699623894e-11
RRBIM,2.923311192897598,17.687,3.653759443008643e-07,3.6537016138678616e-07,6.902433846974961e-12
BF,2.9274588102402377,93.74599981307983,1.8928207884249398e-06,2.6967894318705166e-06,1.4008772198221225e-09
RERCM,2.9232032568810826,30.703,4.468227030542506e-05,0.00013291059814358672,5.330091573358321e-07
RERRM,3.445497016658529,2.0,0.031226983487380632,2.9108478519072634,0.6263706695261015
RERCBIM,2.914538212955719,6.25,0.013923003568945118,1.318887479198139e-05,3.3449563200086208e-06
RERRBIM,2.9228962202425106,14.625,0.00019850576146907646,0.000763815056585231,6.481426520479939e-06
REBF,2.927459915738753,1.103000164031982,1.9524759315835832e-08,1.1781015665859873e-06,7.427368247838399e-14
Meta-GA,2.992159860048174,86.4327676,4.899071642935557e-08,4.896641087655945e-08,6.204049795831696e-13
Meta-GWO,2.9741860087820875,101.2527972,4.303176505361314e-08,4.3010194652765704e-08,5.573599059871961e-13
Meta-PSO,2.965860400377533,88.757219,5.2771861933694625e-08,5.275446731452943e-08,7.328516183924748e-13
Meta-WOA,2.968320727368802,96.4385282,4.201332756822648e-08,4.199064266739369e-08,5.050111887591333e-13
