,$x$,F,I/S,$P_{loss}$,$t[s]$,Inf1,Inf2,$\Pi |x|$
\multirow{5}{*}{IEEE33},$P_{loss}$,RERRBIM,CM,$\cellcolor{green}2.92e+00$,$1.46e+01$,$1.99e-04$,$7.64e-04$,$6.48e-06$
,$t[s]$,REBF,G,$2.93e+00$,$\cellcolor{green}1.10e+00$,$1.95e-08$,$1.18e-06$,$7.43e-14$
,Inf1,REBF,G,$2.93e+00$,$1.10e+00$,$\cellcolor{green}1.95e-08$,$1.18e-06$,$7.43e-14$
,Inf2,Meta-WOA,WOA_PAR,$2.97e+00$,$9.64e+01$,$4.20e-08$,$\cellcolor{green}4.2e-08$,$5.05e-13$
,$\Pi |x|$,REBF,G,$2.93e+00$,$1.10e+00$,$1.95e-08$,$1.18e-06$,$\cellcolor{green}7.43e-14$
