,$P_{loss}$,$\Sigma p(I_{pv})$,$1/\Sigma p(DC)$,$t[s]$,Inf1,Inf2,$\Pi |x|$
PM,5.7606500609874445,0.15847384973266593,0.009121394389297979,15.453,7.853757663326549e-07,7.853748024188104e-07,7.937022308802632e-14
REBF,6.5241263155606575,0.18938482062844642,0.008651584904589397,37.68500018119812,6.05790529017991e-07,1.0814811269750646e-05,2.6392051377681257e-12
Meta,5.566570700931885,0.7350537899201798,0.009857273537425468,153.737666,3.200770255350899e-08,3.198966011270371e-08,6.349040107782313e-15
