,$x$,F,I/S,$P_{loss}$,$t[s]$,Inf1,Inf2,$\Pi |x|$
\multirow{5}{*}{CA141},$P_{loss}$,PM,AB,$\cellcolor{green}3.68e-01$,$5.26e+01$,$5.99e-07$,$5.99e-07$,$6.95e-12$
,$t[s]$,RRM,AB,$3.68e-01$,$\cellcolor{green}3.47e+00$,$1.3e-09$,$6.39e-09$,$1.06e-17$
,Inf1,RRM,AB,$3.68e-01$,$3.47e+00$,$\cellcolor{green}1.3e-09$,$6.39e-09$,$1.06e-17$
,Inf2,RRM,AB,$3.68e-01$,$3.47e+00$,$1.3e-09$,$\cellcolor{green}6.39e-09$,$1.06e-17$
,$\Pi |x|$,RRM,AB,$3.68e-01$,$3.47e+00$,$1.3e-09$,$6.39e-09$,$\cellcolor{green}1.06e-17$
