,dv,dph,dpg,dqg,dpl,dql
PM,0.0,0.0,0.0,0.0,0.0,0.0
REBF,0.15609818288297242,0.30667506536387357,0.02047977938278183,0.008997381306097415,82.16530726563406,0.008997375701493978
Meta,0.6635488461759455,0.35901198465462064,0.5617455242055976,0.285790325343658,130.08807385530653,0.2857903245682627
