,$P_{loss}$,$t[s]$,Inf1,Inf2,$\Pi |x|$
PM,0.119312876123054,1.922,6.5303678783990016e-09,6.530151266948003e-09,9.779160791966167e-18
RM,0.1193128761040327,1.922,7.022301183254309e-09,7.022621636987303e-09,1.1308875437773073e-17
RRM,0.1193128765117208,2.265,5.77365646611816e-10,5.779900308366948e-10,9.018344266394586e-20
PBIM,0.1193128761228761,1.891,6.530539832863558e-09,6.5307964609157e-09,9.622636383635937e-18
RBIM,0.1193128763228873,1.891,3.438991280982351e-09,3.4389073047536023e-09,2.668273780959283e-18
RRBIM,0.119312876507614,1.891,5.574358179910588e-10,5.57555385541364e-10,7.012320073355635e-20
BF,0.1193366428060941,0.500999927520752,2.02546313055052e-14,10.46685777392642,1.2675121882332634e-14
RERCM,0.1192926578452957,0.281,2.9387128063331283e-05,3.038605888649494e-05,2.993309026901535e-11
RERRM,0.1508816582459713,0.094,0.15106238239473188,19.7343973606033,0.04228092698376593
RERCBIM,0.1193038315447796,0.266,4.431634073605306e-06,1.2781676482649315e-05,1.7975779909378874e-12
RERRBIM,0.1192852646369718,0.328,0.00011066797221346951,2.5625893399395736e-05,1.1095876382341397e-10
REBF,0.1193367136965374,0.1059999465942383,1.2922194373571338e-09,10.466855046877807,1.7109298351918205e-10
Meta-GA,0.11935332012494732,7.0241777,4.777800239816332e-08,4.7777185875966244e-08,1.9137206722964788e-15
Meta-GWO,0.1193163354236895,17.7354021,4.841366542038261e-08,4.841400056722345e-08,4.959979495551211e-15
Meta-PSO,0.11933121294685124,6.8832706,4.762284749534884e-08,4.7623088517828593e-08,1.862866852972407e-15
Meta-WOA,0.11936558646370643,17.4645661,4.815699456914291e-08,4.815763943698259e-08,4.834610627329623e-15
