,CB,SOC0,ZB,PB,SOC
0,11.944625,0.0613794809975485,71,0.7217266958691975,0.0
1,0.0,0.0,39,7.990517260525428e-10,0.0
2,0.0,0.0,1,-4.254050532847589,0.3289386935544822
3,0.0,0.0,1,-2.105669165380397,0.4980621025540795
4,0.0,0.0,1,-2.166945978451849,0.6719092123098909
5,0.0,0.0,1,-4.242240133497546,1.0
6,0.0,0.0,103,2.398692657585216,0.787182925958533
7,0.0,0.0,103,2.91694650878728,0.5244001881081741
8,0.0,0.0,102,2.901899519601896,0.263093820131804
9,0.0,0.0,101,2.920114815699695,1.002049329712658e-08
10,0.0,0.0,1,-15.06460748279427,1.0
11,0.0,0.0,102,2.842655684290136,0.7444908655872574
12,0.0,0.0,102,2.927612441677384,0.4806606328667963
13,0.0,0.0,101,2.654260104240327,0.2434256472524662
14,0.0,0.0,101,2.71836005468369,1.004972115112511e-08
15,0.0,0.0,1,-15.06460748437568,1.0
16,0.0,0.0,72,0.7307881227473807,0.9378371189370487
17,0.0,0.0,70,1.208223713262665,0.8339108108162845
18,0.0,0.0,111,0.5184217104476475,0.7900217540896737
19,0.0,0.0,107,2.764509949969538,0.5421219644587327
20,0.0,0.0,105,1.733854446759902,0.3910229020609474
21,0.0,0.0,105,1.790123575933152,0.2347934644391493
22,0.0,0.0,106,1.450626093167799,0.1092769211830654
23,0.0,0.0,110,0.5651821740295399,0.0613794809975485
