,CB,SOC0,ZB,PB,SOC
0,1.270701923076923,3.447484000286853e-09,1,-1.270701923076923,1.0
1,0.0,0.0,29,0.4180432671725033,0.6710139094047557
2,0.0,0.0,29,0.4144642152473744,0.3448444089874599
3,0.0,0.0,31,0.3173101668997499,0.09513190110621403
4,0.0,0.0,32,0.120884300195009,0.0
5,0.0,0.0,3,-0.1316007688802156,0.1035654041773929
6,0.0,0.0,31,0.1316007689239084,0.0
7,0.0,0.0,1,-1.018271017749883,0.8013452884701637
8,0.0,0.0,10,0.5259619856550041,0.3874307650262463
9,0.0,0.0,11,0.3965264104683792,0.07537771797007176
10,0.0,0.0,1,-0.689687698796732,0.6181389116544315
11,0.0,0.0,13,0.2369115843026565,0.4316974040834157
12,0.0,0.0,1,-0.7221432147679617,1.0
13,0.0,0.0,40,0.09172815700000668,0.9278130080875077
14,0.0,0.0,11,0.2322198507968665,0.7450637381887141
15,0.0,0.0,41,0.3915657008007535,0.4369146041395541
16,0.0,0.0,19,0.5551881591641279,5.794391649309384e-08
17,0.0,0.0,1,-1.270701868571907,1.0
18,0.0,0.0,24,0.2113402511318034,0.8336822838981675
19,0.0,0.0,31,0.2212654268140513,0.6595537799917773
20,0.0,0.0,31,0.206813422547417,0.4967985209560222
21,0.0,0.0,32,0.1848666919373972,0.351314606212251
22,0.0,0.0,34,0.1628624164468475,0.2231473216608367
23,0.0,0.0,31,0.2835537289992114,3.447483988482602e-09
