v,ph,pl,ql,pg,qg,t
1,0,0.00168027588787822,0.00110260614610969,0.856223104022661,0.390306826960398,0.0012983
0.998932685633125,-0.000164784600185543,0,0,0,0,0
0.998697356345962,-0.000201164603552454,0,0,0,0,0
0.998593293418418,-0.000217257110155562,0,0,0,0,0
0.998420764365016,-0.000243944363326331,0,0,0,0,0
0.998314471198198,-0.000260390570107842,0,0,0,0,0
0.998168030453911,-0.000283054136625864,0,0,0,0,0
0.998161279158547,-0.000284099524543889,0,0,0,0,0
0.998158243906766,-0.00028456951440076,0,0,0,0,0
0.997956910143294,-0.000315738621392303,0,0,0,0,0
0.998012638772237,-0.000307109698754499,0,0,0,0,0
0.997922827151072,-0.000321016421644645,0,0,0,0,0
0.997894486788768,-0.000325405213894854,0,0,0,0,0
0.997856929762384,-0.000331221606394921,0,0,0,0,0
0.997798710504527,-0.000340238682661667,0,0,0,0,0
0.997785894251354,-0.000342223816625289,0,0,0,0,0
0.997776200430356,-0.000343725334512088,0,0,0,0,0
0.997771436955902,-0.000344463177780175,0,0,0,0,0
0.997765114333529,-0.000345442578003323,0,0,0,0,0
0.997763151072517,-0.000345746697462201,0,0,0,0,0
0.997783701556123,-0.000342563469577113,0,0,0,0,0
0.997677450845253,-0.00035902220151753,0,0,0,0,0
0.997730149763561,-0.000350858580730538,0,0,0,0,0
0.997723288805108,-0.000351921399878877,0,0,0,0,0
0.997721246294404,-0.000352237803379251,0,0,0,0,0
0.997735288318659,-0.000350062643000604,0,0,0,0,0
0.997748092804562,-0.000348079221566515,0,0,0,0,0
0.997709035541116,-0.000354129364367356,0,0,0,0,0
0.99769145010869,-0.00035685358366261,0,0,0,0,0
0.997691016447695,-0.000356920764993202,0,0,0,0,0
0.997687056284409,-0.000357534259866122,0,0,0,0,0
0.997685303113902,-0.000357805856448556,0,0,0,0,0
0.997746339741302,-0.000348350784921105,0,0,0,0,0
0.997780130328317,-0.00034311674195562,0,0,0,0,0
0.997796652116365,-0.000340557725307888,0,0,0,0,0
0.997794819619297,-0.000340841579772544,0,0,0,0,0
0.997799480788845,-0.000340119564634822,0,0,0,0,0
0.997808068361851,-0.000338789455341204,0,0,0,0,0
0.997829924612517,-0.000335404265586316,0,0,0,0,0
0.997845149467685,-0.000333046251234441,0,0,0,0,0
0.997892951590377,-0.000325643066692514,0,0,0,0,0
0.997888868668639,-0.000326275451711847,0,0,0,0,0
0.997924557480343,-0.000320748534168387,0,0,0,0,0
