v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,ph1,ph2,ph3,ph4,ph5,ph6,ph7,ph8,ph9,ph10,ph11,ph12,ph13,ph14,ph15,ph16,ph17,ph18,ph19,ph20,ph21,ph22,ph23,ph24,ph25,ph26,ph27,ph28,ph29,ph30,ph31,ph32,ph33,ph34,ph35,ph36,ph37,ph38,ph39,ph40,ph41,ph42,ph43,pl,ql,pg,qg,t
1,0.998068115506848,0.997641769573415,0.997453057478428,0.997141343903692,0.996949323670513,0.996685824428055,0.996673332345931,0.996666340427921,0.996307421894685,0.996406800294123,0.99624663456636,0.996196768558299,0.996130182059587,0.996025996937002,0.996003503319117,0.995986319807646,0.995978083667105,0.995967755096944,0.995964547932317,0.995999921406355,0.995813909177016,0.995904925965617,0.995892541192475,0.995889115474593,0.995913019540402,0.995934873823826,0.995868473618147,0.995838922364925,0.995838406006554,0.995831333809078,0.995828305913392,0.995931846242931,0.995989724097635,0.996018735745783,0.996015627442459,0.996024318238194,0.996040019463334,0.996079654864425,0.996107198651813,0.996193163102619,0.996186112594721,0.996249739048409,0,-0.000298010846116376,-0.000363933216847107,-0.00039312945593542,-0.000441378347322987,-0.000471115097685059,-0.000511939105755978,-0.00051387628466742,-0.000514960555959186,-0.000570600307682273,-0.000555190124751124,-0.000580027791567835,-0.000587762234461318,-0.000598091082917741,-0.000614254669438344,-0.000617744814721253,-0.000620411112015423,-0.000621689103257792,-0.000623291921065955,-0.000623789624302756,-0.000618300653223306,-0.000647166784306756,-0.00063304148496375,-0.000634963491219798,-0.000635495136698844,-0.000631785645829789,-0.000628394360041807,-0.000638698600531824,-0.000643284934239775,-0.000643365075585227,-0.000644462713562889,-0.000644932661354207,-0.000628864210123923,-0.000619883285674118,-0.00061538198382973,-0.000615864320604884,-0.000614515716405396,-0.000612079583511417,-0.000605930189612907,-0.000601657053083065,-0.000588321786831971,-0.000589415670949201,-0.000579546460849738,0.00547692106817443,0.00359398529438604,1.54956915343621,0.7068556548885,0.0221649
1,0.99794282117348,0.997489483310939,0.997289128318921,0.996958316320244,0.996754752667342,0.996475542663681,0.996462116254786,0.996454582417871,0.996075071431919,0.996180201782827,0.99601056538575,0.995957697967814,0.995887187128942,0.995777020770359,0.995753148962655,0.995734939428812,0.995726169909743,0.995715087310009,0.995711646008341,0.995749305563457,0.995550862013884,0.995648524432515,0.995635482244656,0.995631826676995,0.995657334370712,0.995680859787714,0.995609799951186,0.995578315344401,0.995577824873269,0.995570172722144,0.995566923749047,0.995677611175799,0.995739854242351,0.995771073792928,0.995767934708829,0.995776711567326,0.995793234360088,0.995834766296735,0.995863760508673,0.995954472080911,0.99594690695955,0.996014284769188,0,-0.000317303653129073,-0.000387402288430929,-0.000418402122918058,-0.000469612421172254,-0.000501140954587086,-0.000544405832425864,-0.000546488338623798,-0.000547656895593607,-0.000606500105138306,-0.000590194605788116,-0.000616506495778205,-0.000624708297264421,-0.000635648381045127,-0.000652743957359049,-0.000656448848234822,-0.000659275042856284,-0.000660636133733614,-0.000662356398947029,-0.000662890572209463,-0.000657045413953547,-0.000687848489713229,-0.000672687923589656,-0.000674712471425414,-0.00067527993301801,-0.00067132058753465,-0.00066766906451565,-0.000678699195226961,-0.000683586851139048,-0.000683662994584807,-0.000684850954836729,-0.000685355347462298,-0.000668173345003118,-0.000658512686115326,-0.000653667655871953,-0.000654154890263153,-0.000652792592502378,-0.000650228378762811,-0.000643783220013034,-0.000639284013586567,-0.000625209121067603,-0.000626383128593089,-0.000615929682359618,0.00618633485549935,0.00405950646723863,1.65003455451233,0.752755354598776,0
1,0.997944245782858,0.997492353696815,0.997293161472526,0.996964036526797,0.996761887984253,0.996484422598574,0.996471070493831,0.996463773112811,0.996086391190798,0.996190943284848,0.996022085490197,0.995969290637325,0.995898970247434,0.995789280044957,0.995765399940351,0.995747212692185,0.995738400353193,0.995727184598106,0.995723701949779,0.995761510363939,0.995561771866214,0.995660607797269,0.995647636134527,0.995643933742592,0.995669533862873,0.9956934931291,0.995621732423143,0.995590034749776,0.995589585231714,0.995581794291556,0.995578506281038,0.995690205487439,0.995753475790033,0.995785238257525,0.995782302296321,0.995790511225054,0.995806853756751,0.995847705408519,0.995876435251093,0.995966565385664,0.995958909370206,0.996026119870072,0,-0.000317089755232498,-0.000386965585364428,-0.00041778563745734,-0.000468734901140636,-0.000500044171750949,-0.000543038489649247,-0.000545109452798655,-0.000546241323443912,-0.000604753888444128,-0.000588538252035513,-0.000614729084915923,-0.000622919535499023,-0.000633829939303655,-0.000650851403083016,-0.000654557533120589,-0.000657380231171774,-0.000658747950439753,-0.000660488862893185,-0.000661029447589372,-0.000655161258957935,-0.000686164959900384,-0.000670822410705564,-0.000672835984424114,-0.000673410707256513,-0.000669437065316444,-0.000665718245900562,-0.000676857029390399,-0.000681777702144307,-0.000681847486988079,-0.000683056979331201,-0.000683567426431848,-0.000666228578481575,-0.000656408616418316,-0.000651479401967986,-0.00065193510206405,-0.000650660973104553,-0.000648124778427076,-0.000641785296666217,-0.000637327178526854,-0.000623342683691065,-0.000624530782359263,-0.000614103410541622,0.00615244318080421,0.00403726656657089,1.6488948716526,0.752229478606353,0
1,0.998085891070442,0.997666531438066,0.997482327297155,0.997177351084572,0.996990498104216,0.996733486241211,0.996721237348163,0.996714999208776,0.996364288613572,0.99646144020288,0.996304306451265,0.996254816596617,0.996189043997202,0.996086725816939,0.996064277875442,0.996047225887621,0.996038880898286,0.996028136652191,0.996024800414208,0.996060551808872,0.995870895843638,0.995965575945341,0.995953501509611,0.995949952166214,0.995974343242976,0.995997538700143,0.995928737814117,0.995898471038298,0.995898068233359,0.995890577070242,0.995887427312385,0.995994389280545,0.996055449510947,0.996086145288469,0.996083700414112,0.996090536268202,0.99610561782787,0.996142961529052,0.996169483021611,0.996253095024407,0.996245760762025,0.996308550863427,0,-0.000295287075643678,-0.000360130782117611,-0.000388629633349605,-0.000435835406821007,-0.000464771269707785,-0.000504588887601734,-0.000506488264778142,-0.000507455597406484,-0.000561820370227585,-0.000546756305290595,-0.000571122450845095,-0.000578798116483994,-0.000589000112827366,-0.000604873057782194,-0.000608355895399812,-0.000611001614462196,-0.000612296414446722,-0.000613963636174956,-0.000614481338249253,-0.00060893406830021,-0.00063836384735231,-0.000623670917626223,-0.000625544640954313,-0.000626095436855916,-0.000622310604262349,-0.000618711416130286,-0.000629387544269486,-0.000634084640772088,-0.000634147154331289,-0.000635309748168745,-0.000635798580626917,-0.000619200143600946,-0.000609726029655634,-0.000604963755347228,-0.000605343117621217,-0.000604282426845825,-0.000601942620220147,-0.000596149221679378,-0.000592034966210523,-0.000579065441066127,-0.000580203281146312,-0.000570464348634459,0.00531553826994191,0.00348808502735665,1.53532226905656,0.700334468569451,0
1,0.99838589922386,0.998033911194909,0.997880065150307,0.997624676160747,0.997468752862776,0.997253692606322,0.997243633639915,0.997238982560904,0.996944064631904,0.997025730606381,0.996893501673192,0.996851522007844,0.996795844171624,0.996709447091691,0.996690338122541,0.996675855117015,0.996668693720473,0.99665940024566,0.996656514492961,0.99668711516227,0.996524106594364,0.996606000451553,0.99659576257725,0.99659265634264,0.996613558652969,0.996633909399524,0.996574294115771,0.996548091335135,0.996547736303046,0.996541263405117,0.996538539005796,0.996631185253456,0.99668453152912,0.996711390024707,0.996709587459721,0.99671462742165,0.996727212764681,0.996758055853262,0.996780261661276,0.996850580324627,0.996844236180051,0.996897377331575,0,-0.00024908291681415,-0.000303506036300975,-0.00032730433137934,-0.000366825624624635,-0.000390964209076644,-0.000424269779722535,-0.000425828762927292,-0.000426549616234748,-0.000472244210585185,-0.000459587863054449,-0.000480081301565758,-0.000486588549656303,-0.000495219817937611,-0.000508614905401869,-0.000511577880314716,-0.00051382362016951,-0.000514934087426048,-0.000516375276885188,-0.000516822791051628,-0.000512077672139056,-0.000537356440974314,-0.000524655910519404,-0.000526243616576596,-0.000526725340535568,-0.00052348391802626,-0.000520328113305925,-0.000529573019839987,-0.000533636794663828,-0.000533691858162224,-0.000534695767205585,-0.000535118309240281,-0.000520750576789574,-0.000512478498441281,-0.00050831408544049,-0.000508593607418887,-0.000507812067586636,-0.000505860724426022,-0.000501078701661908,-0.000497635974889292,-0.000486734749037167,-0.000487718391882654,-0.00047948067686022,0.00376049957984037,0.00246766020930966,1.29475192934603,0.590453766254257,0
1,0.998721842045054,0.998444364802662,0.998323671097588,0.998123227866625,0.998001277706578,0.997833009342365,0.99782521755914,0.997821641975572,0.997590538897274,0.997654513597092,0.997551042300761,0.997518225562854,0.997474675536988,0.997407049482016,0.997392080140322,0.997380722431904,0.997375100165141,0.997367875109582,0.99736563163039,0.99738957448808,0.997262007194537,0.997325672319375,0.997317513988699,0.997315022226673,0.997330919110195,0.997346915473845,0.997300691990177,0.997280220377467,0.997279915676069,0.997274912252273,0.997272794268075,0.997344797642553,0.997386594170481,0.997407648164595,0.997406257755806,0.997410145331736,0.997419969804098,0.997444024292013,0.997461568774358,0.99751700336804,0.997512071016377,0.997553833103272,0,-0.000197310228428325,-0.000240210160636928,-0.000258877069619662,-0.000289887822633043,-0.000308760644549151,-0.000334808918581457,-0.000336015823114778,-0.000336569666444979,-0.000372358232098876,-0.000362449276864344,-0.000378476414506986,-0.000383560189284611,-0.000390307113021648,-0.000400785003698883,-0.000403104518406011,-0.000404864438797861,-0.000405735642067808,-0.00040685527745292,-0.000407202942589431,-0.00040349280227738,-0.000423261441316143,-0.000413395040644052,-0.000414659342498692,-0.000415045495251863,-0.000412582032908803,-0.000410103200535786,-0.000417266282019406,-0.000420438905010975,-0.000420486127809715,-0.000421261560503555,-0.000421589808657734,-0.000410431401297441,-0.000403954745365877,-0.00040069251168127,-0.000400907970506414,-0.000400305549972587,-0.000398783296800992,-0.000395056272772117,-0.000392337998517689,-0.000383749668572573,-0.000384513905795326,-0.000378044164156475,0.00233725794877415,0.00153372133586327,1.02533607628379,0.467461752273778,0
1,0.998963807956071,0.99873968475364,0.998642586035814,0.998481478745505,0.998383748229922,0.998249042808104,0.998242825360563,0.998239824593229,0.998054950722869,0.998106115815624,0.998023542977483,0.997997514692638,0.997962902043551,0.99790901746804,0.997897131619425,0.997888087015305,0.997883629026565,0.997878011731414,0.99787626748436,0.997895183529769,0.997794612420544,0.99784410930812,0.997837450925204,0.997835433055184,0.997847462172519,0.99786001397872,0.997824215800261,0.997808160404164,0.997807883948302,0.997804033551635,0.997802386905055,0.997858367424517,0.997891075716193,0.997907550376234,0.997906371494333,0.997909667642371,0.997917520167296,0.997936837368367,0.997951073749415,0.997995798508925,0.997991963614674,0.998025383010003,0,-0.000159997828960945,-0.000194647362156355,-0.000209663241309158,-0.000234583883979333,-0.000249704892449604,-0.000270551391173005,-0.000271514038542829,-0.000271978650742311,-0.00030059757580822,-0.000292675912816373,-0.000305460682558086,-0.000309491051176241,-0.000314850932707294,-0.000323195786035325,-0.000325036608513159,-0.000326437413313638,-0.000327127862158748,-0.000327997906572474,-0.000328268069050304,-0.00032533833792818,-0.000340915525450022,-0.000333248808497632,-0.000334280131762548,-0.000334592683460194,-0.000332729539198088,-0.000330785461426273,-0.000336330145846507,-0.000338817055293556,-0.000338859877914509,-0.000339456298404725,-0.000339711362675223,-0.000331040497079388,-0.000325974636155304,-0.000323423178993633,-0.000323605767939188,-0.000323095251036649,-0.000321879123040708,-0.000318887513322465,-0.000316682811888787,-0.000309756888607535,-0.000310350796580874,-0.000305175812693429,0.00152155491527406,0.000998452583489851,0.831266913823811,0.37890858821379,0
1,0.999107841776623,0.998915197458327,0.998831889861499,0.998693825526647,0.998610189374614,0.998495059336172,0.998489731544012,0.998487024245211,0.998329268212658,0.998372925801236,0.998302578394717,0.998280527548332,0.998251152829931,0.998205324468285,0.998195251462807,0.998187567992708,0.998183797564205,0.998179119996445,0.99817766754781,0.998193629267977,0.998108941701253,0.99815015762121,0.998144401566995,0.998142673029454,0.998152525082292,0.998163035827467,0.998133271757496,0.998119791141039,0.998119529379373,0.998116354715651,0.998114983555131,0.998161664731071,0.998189009750103,0.998202779837223,0.998201716323302,0.998204689903138,0.998211395135156,0.998227966507414,0.998240236793416,0.998278612956551,0.998275419551578,0.998303910754999,0,-0.000137777557766672,-0.000167559588444198,-0.000180441820681136,-0.000201795823040215,-0.000214734289388191,-0.000232548252240602,-0.000233372951086114,-0.000233792021571946,-0.000258207691516381,-0.000251450009629527,-0.000262339241292244,-0.000265752830770505,-0.000270300383430922,-0.000277395626002059,-0.000278955233306884,-0.000280144882831687,-0.000280728672048574,-0.000281452947428431,-0.000281677846049964,-0.000279206411541678,-0.000292319490601965,-0.000285937393569763,-0.000286828683456028,-0.000287096338373598,-0.000285570849768986,-0.000283943384073263,-0.000288552075067571,-0.000290639517328986,-0.000290680051180789,-0.000291171648219521,-0.00029138397345767,-0.000284155689452445,-0.00027992173167708,-0.00027778974148908,-0.000277954413162059,-0.000277493992681964,-0.000276455840227734,-0.00027389018713775,-0.000271990486821949,-0.00026604928828133,-0.000266543709059426,-0.000262133020399923,0.00112166209964482,0.000736040750123124,0.715736187146149,0.326209475983035,0
1,0.999189577806083,0.999014597369218,0.998938935276002,0.998813663747931,0.998737784613548,0.998633443032994,0.998628590327918,0.998626030589393,0.998483290685888,0.998522794943843,0.998459189645726,0.998439327057221,0.998412837908432,0.998371455105357,0.99836238334452,0.998355453426972,0.99835206410729,0.998347897467824,0.998346603669493,0.998360938338936,0.998284998839918,0.998321712499448,0.998316473506041,0.998314912179372,0.998323647380023,0.99833302991975,0.998306495533897,0.998294409834506,0.998294154654492,0.998291348787119,0.998290127405447,0.998331808589071,0.99835620344946,0.998368484803637,0.998367483445229,0.998370283238602,0.998376359390274,0.998391426660951,0.998402584365468,0.998437389820339,0.998434545201549,0.998460287392881,0,-0.000125164740369586,-0.000152215495759275,-0.000163914980879079,-0.000183289163750071,-0.000195026672501462,-0.000211169744734066,-0.0002119207998976,-0.000212316974014903,-0.000234405892663806,-0.000228291926042273,-0.000238136173513819,-0.000241210558779986,-0.00024531077457827,-0.000251716742294461,-0.00025312109886559,-0.000254193898952301,-0.00025471859353022,-0.000255363648007893,-0.000255563947188783,-0.000253344803926892,-0.000265101341730397,-0.00025941737575613,-0.000260228463657154,-0.000260470185530588,-0.000259117857526485,-0.00025766532365159,-0.00026177323499898,-0.000263644353470151,-0.00026368386124011,-0.000264118274156098,-0.000264307372874533,-0.000257854406580485,-0.000254077856422422,-0.000252176666582437,-0.000252331688527462,-0.000251898248549561,-0.000250957644120143,-0.00024862522880354,-0.000246898047800432,-0.000241510465259503,-0.000241950814980127,-0.000237966289483006,0.000923858212213524,0.000606240766927169,0.65017225871793,0.296308468925076,0
1,0.999236550418736,0.999071564597437,0.999000154625388,0.998882063659326,0.998810485158641,0.998712182629292,0.998707574883957,0.998705042847109,0.998570857281321,0.998607999122929,0.998548237166899,0.998529650767085,0.998504835786599,0.998466015476437,0.998457533497892,0.998451045075829,0.998447884980045,0.998444030074232,0.998442833073501,0.99845619660142,0.998385531473702,0.998419498194129,0.998414562679692,0.998413107421531,0.998421183008781,0.998429852979314,0.998405292940973,0.998394060919057,0.998393810492667,0.998391228899336,0.998390098901538,0.99842872302523,0.998451273152412,0.998462620474145,0.998461633436036,0.998464393189932,0.998470119428802,0.998484377319315,0.998494906372573,0.998527670067468,0.998525038258265,0.998549183163241,0,-0.00011791523762326,-0.00014342059762469,-0.000154462321201188,-0.00017272533122144,-0.000183797080678306,-0.000199004974540592,-0.000199718060940413,-0.000200109916640004,-0.000220873605247756,-0.000215125704171034,-0.000224374392050067,-0.000227251006529126,-0.000231091752684868,-0.000237100517744768,-0.00023841345202203,-0.000239417812369915,-0.000239906975539719,-0.000240503712016139,-0.00024068900765023,-0.000238620400708519,-0.000249559337819178,-0.000244301164608704,-0.000245065194515485,-0.000245290473117189,-0.000244040381946737,-0.000242698290224027,-0.000246500178547288,-0.00024823895820092,-0.00024827772613004,-0.000248677376381832,-0.000248852309217634,-0.00024287320952559,-0.000239382567088359,-0.000237626127058823,-0.000237778917648534,-0.000237351716509016,-0.000236465358963429,-0.000234258431509556,-0.000232628707289667,-0.000227557607789421,-0.000227964977548532,-0.000224228004448313,0.00081973691254511,0.000537915805667311,0.612492626695257,0.2791262593488,0
