,CB,SOC0,ZB,PB,SOC
0,1.270701923076923,0.1591715221380055,31,0.2022595723110669,0.0
1,0.0,0.0,1,-0.8449036151963416,0.6649109290645671
2,0.0,0.0,23,0.6086637147988122,0.1859129059007201
3,0.0,0.0,1,-0.7003763721759625,0.7370857285715146
4,0.0,0.0,28,0.45595508673281,0.3782642974817594
5,0.0,0.0,1,-0.790040770793834,1.0
6,0.0,0.0,29,0.1154575266053632,0.9091387895361076
7,0.0,0.0,29,0.2658822254561921,0.6998983546433905
8,0.0,0.0,2,-0.3813397506572967,1.0
9,0.0,0.0,31,0.1058677882553667,0.9166855923567555
10,0.0,0.0,31,0.1044117337872221,0.8345170436767664
11,0.0,0.0,31,0.08307180629023288,0.769142305498355
12,0.0,0.0,31,0.1885786480663245,0.6207372052131548
13,0.0,0.0,29,0.2301043206990941,0.4396527869104177
14,0.0,0.0,29,0.2197784446386424,0.266694488335429
15,0.0,0.0,31,0.1694217365304236,0.133365237870937
16,0.0,0.0,31,0.169467468316275,0.0
17,0.0,0.0,1,-1.270701923076923,0.9999999960113042
18,0.0,0.0,31,0.3724314812524644,0.7069088539791557
19,0.0,0.0,31,0.4438076092369441,0.3576470821322229
20,0.0,0.0,31,0.4544628462891505,0.0
21,0.0,0.0,1,-1.270701923076923,0.9999999920367156
22,0.0,0.0,24,0.5748968495120517,0.5475753645387241
23,0.0,0.0,24,0.4935455140216474,0.1591715221380055
