,CB,SOC0,ZB,PB,SOC
0,11.944625,0.853694543539999,107,2.258559321756003,0.6540949020089083
1,0.0,0.0,107,2.599211283929474,0.4221547768611414
2,0.0,0.0,107,2.582534061064177,0.1918148531992829
3,0.0,0.0,107,2.175443114724997,0.0
4,0.0,0.0,110,-0.1619182975063392,0.01351010425932481
5,0.0,0.0,71,0.1608263535360355,0.0
6,0.0,0.0,71,-8.19049175759737e-11,0.0
7,0.0,0.0,71,2.476785589666569e-11,0.0
8,0.0,0.0,71,3.168555347591516e-10,0.0
9,0.0,0.0,1,-3.727519934077199,0.2908236669372904
10,0.0,0.0,1,-1.54935699491838,0.4165780871010296
11,0.0,0.0,1,-1.140606172527032,0.5098912814107196
12,0.0,0.0,1,-1.062263649640865,0.5969288906697688
13,0.0,0.0,1,-1.38573922226002,0.7097575362530218
14,0.0,0.0,1,-3.71956009062151,1.0
15,0.0,0.0,71,1.052447832570624,0.9098077214593251
16,0.0,0.0,110,1.144923207612103,0.811475278215664
17,0.0,0.0,105,1.856025043732081,0.6492163571007247
18,0.0,0.0,103,2.43952763705883,0.4325253292064166
19,0.0,0.0,102,2.458096650080375,0.214069287445561
20,0.0,0.0,102,2.411903971826654,0.0
21,0.0,0.0,1,-6.728543195891921,0.5000095896431582
22,0.0,0.0,1,-6.728255428113238,1.0
23,0.0,0.0,109,1.681117999265321,0.853694543539999
