,$p(\overline{DC_{4}})$,"('$p(DC_{4})$', 'IEEE33', 'PM')","('$p(DC_{4})$', 'IEEE69', 'PM')","('$p(DC_{4})$', 'SA', 'PM')","('$p(DC_{4})$', 'CA141', 'Meta')"
0,0.5409733462777447,0.991938455446773,0.992776130998767,0.9932733638253596,0.8785686810241111
1,0.5579049246861654,0.992151257053993,0.9926029880746281,0.9959435886215716,0.9811656893344238
2,0.5749024489839747,0.9968653691281663,0.9970483203115929,0.9997374794011978,0.9801318328527114
3,0.5982945786893569,0.9981773903310419,0.9982287324730507,0.9987814673963288,0.9727148512570932
4,0.64212053096156,0.9997814814845909,0.9997877489170702,0.9998536731176078,0.9999933360375097
5,0.6337959401058443,0.9973900683227863,0.9974816084538579,0.9998849452603008,0.9960623517736722
6,0.5821046091563261,0.9868677336780164,0.9871404986430077,0.9976273779262382,0.9810327864261266
7,0.5500355881254244,0.9832317258358652,0.9834696278205731,0.996339867915605,0.9152644674613799
8,0.5443720115876006,0.9860232607874061,0.9865448108030388,0.9986261544921965,0.04991032732332069
9,0.5,0.9986091737345927,0.998724556354042,0.999952708655131,0.9540871475763121
10,0.5,0.9994392582300662,0.9998331000434222,0.9999030851886903,0.9081102063737025
11,0.5,0.998970302077088,0.9994950440071095,0.9995228356831832,0.9679691116379596
12,0.5,0.9989574915039519,0.9995609974923128,0.9995788847695831,0.9735645900102801
13,0.467680109841344,0.9998919835284,0.9999818761511687,0.9999999538046883,0.9993139933483886
14,0.4660158347641802,0.9999938158942369,0.9999993945668616,0.9999993945673827,0.009199771829142556
15,0.46278125528824077,0.999898261925068,0.999898261925068,0.999898261925068,0.014710634025527192
16,0.46353923750424264,0.9996731466831634,0.9998873730495726,0.9999996793362763,0.9924252996491506
17,0.463607133235052,0.9975399843409738,0.998578301720961,0.9999652109821129,0.004248100397774124
18,0.4638250044164698,0.999860298402957,0.9999853813867466,0.9999982199059789,0.9673950838048775
19,0.46027297916502474,0.9997483933604994,0.9997483933604994,0.9997483933604994,0.934268873087376
20,0.45727947263770774,0.8646261476725646,0.001513854624445304,0.8646261476725646,0.8346445473810713
21,0.40331275684104295,0.0001227962742275716,0.0001227962742304254,0.0001227962742275716,0.7112461063270585
22,0.44270303877180217,0.8044601754504089,0.0006289468438143113,0.8044601754504089,0.8044601754504089
23,0.4635492164226759,0.9872841638276377,0.9872841638276377,0.9872841638276377,0.9839115736954126
