,$p(\overline{DC_{1}})$,"('$p(DC_{1})$', 'IEEE33', 'PM')","('$p(DC_{1})$', 'IEEE69', 'PM')","('$p(DC_{1})$', 'SA', 'PM')","('$p(DC_{1})$', 'CA141', 'Meta')"
0,0.5436094911904749,0.9928836284011001,0.9979428581250943,0.9996749951129318,0.9667934626453957
1,0.5734988052158988,0.9952089205180396,0.9983816898788093,0.9992864942189082,0.9983678803564305
2,0.5919070913344524,0.997739784138618,0.998719403769163,0.9989806556858195,0.9994327783576652
3,0.6086296652389296,0.9991965522313739,0.9993591365744232,0.9993999281064513,0.9997423905377414
4,0.6614342106043016,0.9994014338716954,0.9998084447667257,0.9999941259249122,0.9999999499045845
5,0.6480077863054322,0.9970659125405589,0.9989952343550754,0.999954214078933,0.9933418693946257
6,0.6041629407324949,0.9861866470460913,0.9949538662949751,0.9980262407997497,0.996471500309954
7,0.5564738772947108,0.9874926707763648,0.99614673679061,0.9985832260288903,0.5618628062352257
8,0.541320347628277,0.9680375019791724,0.9794254397341094,0.988459848107273,0.9431192319126043
9,0.5436113850961413,0.9840604230250508,0.9840604230250508,0.9840604230250508,0.907523751963057
10,0.5363382649404522,0.9612558007974542,0.9612558007974542,0.9612558007974542,0.8839886477470513
11,0.5310734445261741,0.9282693958199002,0.9282693958199002,0.9282693958199002,0.9143015889567007
12,0.5018754770565932,0.8756852571735124,0.0005022474572605987,0.8756852571735124,0.8617996840507858
13,0.49671854109197533,0.8599624380751894,0.0004697332945954858,0.8599624380751894,0.8381354150500894
14,0.5,0.9403652627686906,0.9403652627686906,0.9403652627686906,0.9366451157615787
15,0.5,0.9832625880556265,0.9832625880556265,0.9832625880556265,0.9769129664200387
16,0.5333754950768097,0.9780046803852852,0.9780046803852852,0.9780046803852852,0.8140602752621038
17,0.5355019534888171,0.9783718335167875,0.9793768442479557,0.9793768442479557,0.860153429358294
18,0.5,0.9882692836071653,0.9900232579430064,0.9900232579430064,0.8909814442705719
19,0.5,0.9406776404734849,0.9406776404734849,0.9406776404734849,0.9154235167131757
20,0.5123888342746384,0.870381323561194,0.870381323561194,0.870381323561194,0.8127935299430642
21,0.4678005959187139,0.9829243932178058,0.001807638275760026,0.9829243932178058,0.0019924193637281817
22,0.4698597631965178,0.9999327802269282,0.002162149224043897,0.999961803018948,0.003614242967444614
23,0.5,0.9893665632282473,0.9967226373736102,0.9992754063616968,0.9901976405819315
