,$\overline{DC_{4}}$,"('$DC_{4}$', 'IEEE33', 'PM')","('$DC_{4}$', 'IEEE69', 'PM')","('$DC_{4}$', 'SA', 'PM')","('$DC_{4}$', 'CA141', 'Meta')"
0,0.7514095947347387,1.213484111322266,1.223580641050379,1.230117799269907,0.9378323259857749
1,0.545319961993237,0.9127839774612261,0.9189009793917576,0.9831201833660681,0.8266468271704817
2,0.44045618847232215,0.6886328135548079,0.6920409951157165,0.843800875384312,0.5912182785719985
3,0.38906686472133906,0.5376376804196421,0.5384809720558412,0.5496392632816385,0.46294507028033177
4,0.3658298959026397,0.487928753373394,0.4884504912914014,0.495167709623804,0.5546429837706293
5,0.39032205746164483,0.5810104020680537,0.5825452662545931,0.7314506080300132,0.5636082215552752
6,0.4931580604255565,0.8543838225507497,0.8568911835540783,1.083184295827882,0.8115149318832445
7,0.560858150075141,0.9221612739198862,0.9234793645561148,1.05896172820673,0.7649535104730552
8,0.5764014076156458,0.9197371893791962,0.9228066333883009,1.099394792605057,0.388880142550416
9,0.601940432571717,0.9479522623613492,0.9510004696627532,1.053598384100437,0.7969733954505522
10,0.6321018344055986,0.9718264399476498,1.006174794584813,1.020707472041712,0.7706979595013957
11,0.6532574946672123,0.9614323069333638,0.9820558229897719,0.9836464556976289,0.8384455578535861
12,0.6704100868675267,0.9729578969953708,0.9974448248145839,0.9985825787280939,0.8607135008548562
13,0.7035775565889353,0.9982291907479642,1.021823216054602,1.081861360812048,0.9691202648240264
14,0.7192252688546861,1.056707594957433,1.081394517904259,1.081394526381591,0.414966164150605
15,0.7074697489535684,0.9904414054449104,0.9904414054449104,0.9904414054449104,0.44370813428215095
16,0.7057856585493889,0.9700048646847528,0.9851623934271443,1.048066318847147,0.9118579036070464
17,0.7205262232077736,0.9549461880331022,0.9653686716332275,1.020705526779838,0.38774297061213914
18,0.7895467507341404,1.089146426306539,1.119449022603818,1.143182845630992,0.9704481383153046
19,1.0171750051170283,1.346933922517294,1.346933922517294,1.346933922517294,1.19423375207806
20,1.2205235485638382,1.346933922517294,0.8260892118088243,1.346933922517294,1.3322463622907992
21,1.3099500545363425,1.063609723853541,1.063609723854206,1.063609723853541,1.3469339225172945
22,1.2601562482699216,1.346933922517294,0.8833805412690623,1.346933922517294,1.3469339225172945
23,1.0394741303905848,1.346933922517294,1.346933922517294,1.346933922517294,1.3370399084503468
