,$p(\overline{DC_{5}})$,"('$p(DC_{5})$', 'IEEE33', 'PM')","('$p(DC_{5})$', 'IEEE69', 'PM')","('$p(DC_{5})$', 'SA', 'PM')","('$p(DC_{5})$', 'CA141', 'Meta')"
0,0.5370048297686477,0.9768982940248814,0.96708960050821,0.9977155469306738,0.930085947395343
1,0.5308749044705123,0.991970915623877,0.9893511144488357,0.9997330725544614,0.9774243026723786
2,0.5628368801165118,0.9931291234022196,0.9921698129457364,0.9971956182707127,0.9830369848063273
3,0.584165056638898,0.9982907264728871,0.9980300624529864,0.9991291037127525,0.9857744783172027
4,0.6758514624922843,0.9999309807900463,0.9999118107685472,0.9999831360423193,0.9766250765877907
5,0.6147507176760063,0.983530260855879,0.9789051391396761,0.9993594543791272,0.9627423578968252
6,0.5619639406351761,0.9466317109103946,0.9261795042647113,0.986040587419493,0.03827944757128314
7,0.5477264804288224,0.9482836248068494,0.9320746644736214,0.9667808685724624,0.8285326664501669
8,0.5389010133579634,0.9570826478201734,0.9394505524616089,0.9777062580277827,0.005515994968353889
9,0.5336578888146166,0.9631438323955823,0.9505211985286062,0.9836801833163186,0.08286391140040317
10,0.5293196971656631,0.9628762033973343,0.0008468955992346807,0.987551193232402,0.2137469553071063
11,0.5282740635472769,0.9693905218057506,0.001740516260775873,0.9857670419580404,0.7412074915532417
12,0.5282619977508525,0.9683123888017494,0.0005621630409602802,0.9823065454808072,0.8767385431558611
13,0.5259252094834276,0.9642197342169457,0.002329351075964663,0.9859314245587409,0.9744845674816054
14,0.524033049624458,0.9718930031816946,0.0004872769160177152,0.9952266939984552,0.977610702350524
15,0.5227974021606784,0.9789202492514668,0.9718803164147575,0.999407334443845,0.8815359292530496
16,0.5,0.9850160440865525,0.001197459620836251,0.9997182481079033,0.003287570219589307
17,0.523191220211862,0.975273334600928,6.325866214569696e-06,0.9959639051133211,0.9869501407749421
18,0.5225546250265385,0.9723038405608889,1.341368130005975e-07,0.9988705192236802,0.9925214970457649
19,0.45497173836236127,0.9904399228368824,0.004575889034835967,0.9904399228368824,0.06436347493045225
20,0.4354227593725746,0.00058653298933493,0.00058653298933493,0.7941619866869238,0.0011911577031344163
21,0.42571077778984157,0.000428851082706508,0.0004288510827144882,0.7647457860379042,0.00043940973624666355
22,0.44935659616686896,0.00210840748065344,0.00210840748065344,0.9579082468577845,0.004629075961408047
23,0.5,0.9743842418509269,0.001448808264828074,0.9984311119008107,0.827431017488585
