,$P_{loss}$,$\Sigma p(I_{pv})$,$1/\Sigma p(DC)$,$t[s]$,Inf1,Inf2,$\Pi |x|$
PM,3.6643504200144577,0.06576747495326049,0.010584392138192143,103.36,5.480160363843063e-07,5.480355169129495e-07,7.918238175029756e-14
REBF,6.209317329836707,0.08245840204549185,0.008608733395949733,12.95900011062622,2.901303872158242e-13,2.7595255950481345e-06,4.573168103305895e-20
Meta,5.280295067049284,2.1247963911163636,0.00945462172101761,157.7486328,2.3717856527838595e-08,2.3879623901194595e-08,9.477377800820076e-15
