,$P_{loss}$,$t[s]$,Inf1,Inf2,$\Pi |x|$
PM,2.1246641910195336,21631.187,9.383034521312098e-10,9.475137639123647e-10,4.086010625878684e-14
REBF,1.9812700948899715,21602.69600009918,2.4147982726907883e-07,3.350135194203109e-06,3.462540232691673e-08
Meta,3.245634149258887,137.0109829,6.830526907212442e-08,6.92759954382753e-08,2.104223795690241e-12
