,CB,SOC0,ZB,PB,SOC
0,1.270701923076923,0.9999999973118573,24,0.6453881306071447,0.4921010850993731
1,0.0,0.0,27,0.6253137920116445,7.170652532668157e-09
2,0.0,0.0,1,-1.270701923076923,1.0
3,0.0,0.0,33,0.470666010349137,0.6296015682796319
4,0.0,0.0,32,0.4434309086399296,0.2806362473219297
5,0.0,0.0,28,0.2958347312573352,0.04782419039903189
6,0.0,0.0,22,0.06077030277541755,0.0
7,0.0,0.0,1,-1.041889238305299,0.819932037560572
8,0.0,0.0,35,0.8136588176360772,0.179609712449493
9,0.0,0.0,1,-1.042471532994879,1.0
10,0.0,0.0,31,0.5437515712034228,0.5720856723873465
11,0.0,0.0,34,0.7269503453742728,2.014465026216167e-08
12,0.0,0.0,1,-1.270701918492355,1.0
13,0.0,0.0,24,0.6150542909211573,0.5159728139498848
14,0.0,0.0,36,0.6556476367455388,1.292474818398184e-08
15,0.0,0.0,1,-1.270701923076923,1.0
16,0.0,0.0,22,0.1644612003962495,0.8705745343806336
17,0.0,0.0,28,0.3767006631495391,0.5741236888043697
18,0.0,0.0,29,0.3682024649035092,0.28436064153153
19,0.0,0.0,26,0.3613376265560771,0.0
20,0.0,0.0,1,-1.270701923076923,0.9999999905359954
21,0.0,0.0,33,0.6312684063311831,0.5032128299352967
22,0.0,0.0,19,0.6394335169475377,0.0
23,0.0,0.0,1,-1.270701923076923,0.9999999973118575
