,$x$,F,I/S,Gap,$P_{loss}$,$t[s]$,Inf1,Inf2,$\Pi |x|$
\multirow{5}{*}{SA},$P_{loss}$,PM,AB,$6.55e-03$,$\cellcolor{green}8.59e-02$,$2.16e+04$,$3.45e-08$,$3.43e-08$,$2.2e-12$
,$t[s]$,Meta,GWO_PAR,*,$1.31e-01$,$\cellcolor{green}1.53e+02$,$1.96e-07$,$1.92e-07$,$7.53e-13$
,Inf1,PM,AB,$6.55e-03$,$8.59e-02$,$2.16e+04$,$\cellcolor{green}3.45e-08$,$3.43e-08$,$2.2e-12$
,Inf2,PM,AB,$6.55e-03$,$8.59e-02$,$2.16e+04$,$3.45e-08$,$\cellcolor{green}3.43e-08$,$2.2e-12$
,$\Pi |x|$,Meta,GWO_PAR,*,$1.31e-01$,$1.53e+02$,$1.96e-07$,$1.92e-07$,$\cellcolor{green}7.53e-13$
