,$P_{loss}$,$t[s]$,Inf1,Inf2,$\Pi |x|$
PM,0.0858858383091956,21603.985,3.451893810993832e-08,3.4315355271345295e-08,2.19786671960944e-12
REBF,0.07608680823610367,21602.58899998665,5.87791808022258e-07,0.2190273170950678,0.00021161038719173228
Meta,0.13117742979380154,152.8581469,1.9563371789781715e-07,1.9192265630014042e-07,7.528659610300354e-13
