,$p(\overline{DC_{2}})$,"('$p(DC_{2})$', 'IEEE33', 'PM')","('$p(DC_{2})$', 'IEEE69', 'Meta')","('$p(DC_{2})$', 'SA', 'PM')","('$p(DC_{2})$', 'CA141', 'Meta')"
0,0.46504783032536307,0.8631613604032903,0.8631613604032903,0.8631613604032903,0.8575650950232707
1,0.41766239157154944,5.022329997732707e-05,0.7473540613072058,0.7473540613072058,0.7473540613072058
2,0.4417111068817183,0.7997124713655608,0.7871688430023951,0.7997124713655608,0.7808578660510348
3,0.4618381260963452,0.9671945344340913,0.9135473438126904,0.9671945344340913,0.963202127055863
4,0.5,0.9954922977725054,0.987689984706419,0.9990698007102498,0.9600393676882425
5,0.5381416504673053,0.9885123268598859,0.766595284231732,0.9951992024939106,0.9472797153953986
6,0.555307805063389,0.9925418249104855,0.9916246199757013,0.9945705540232892,0.9619632500009124
7,0.5753798421794933,0.9955859573201628,0.9992267890214379,0.9995996201301076,0.9850544470257456
8,0.6009540301100479,0.9964612152472854,0.9944196970472569,0.9983571770244412,0.9990335061127379
9,0.6263374978205267,0.9979818370068755,0.9993955697091844,0.9991227847675401,0.9985425182583996
10,0.6170924104279176,0.9943634502304687,0.9993762455262574,0.9995518362019943,0.9911293707227592
11,0.5951638861425044,0.9928014282072115,0.9339952391519486,0.9982973623743764,0.9925320461259833
12,0.5729646550533525,0.9925255676755944,0.937579359562518,0.997502775994864,0.9013714317304753
13,0.5406965865796032,0.9952865582405627,0.910870219271471,0.9997549353251498,0.9902614755228363
14,0.5364134288075441,0.9893319769881588,0.9816390291410887,0.99606644192062,0.9786475291953671
15,0.5,0.9964803143078661,0.9414167478417519,0.9989263640596862,0.980332758560274
16,0.5,0.9991018585315893,0.9933145588251063,0.9997461009577426,0.9992860052564815
17,0.5,0.9971931139865629,0.6315047016037394,0.9999944082976265,0.9999534429216063
18,0.5,0.9927686640947017,0.9880634665568472,0.9989636026172477,0.9889447267456293
19,0.5,0.9890939430761797,0.999469019016222,0.9990605316810478,0.9262108570497252
20,0.5,0.9951798686013529,0.9812235326127235,0.9951798686013529,0.9104695323412522
21,0.5,0.9980848662002422,0.90574211599683,0.9980848662002422,0.8908233689910651
22,0.5,0.9940056366804875,0.010992293266485058,0.9988618460333061,0.9858743101065767
23,0.5,0.0005232537861163178,0.966045296770219,0.0005232537861163178,0.9234932912149342
