,$\overline{DC_{4}}$,"('$DC_{4}$', 'IEEE33', 'PM')","('$DC_{4}$', 'IEEE69', 'Meta')","('$DC_{4}$', 'SA', 'PM')","('$DC_{4}$', 'CA141', 'Meta')"
0,1.2789074710221318,1.374666374724034,1.3746663747240335,1.374666374724034,1.3746663747240335
1,1.2912509889939645,1.374666374724034,1.3517150909479767,1.374666374724034,1.371003234434803
2,1.2077145428419709,0.7532810351140808,1.3639153209029369,0.7532810351140808,1.3182898029349077
3,1.0060092211192817,1.374666374724034,0.840619978533126,1.374666374724034,1.1218385918251566
4,0.7421798647535744,1.129244229348074,1.1582895958060766,1.222495566383559,0.9670532190247036
5,0.5728806958907918,0.8454667925051832,0.8175204866820399,0.9149131432316717,0.7354305355126804
6,0.4859702556274767,0.7370492948534779,0.763151995189742,0.8182807832381555,0.6052857431730914
7,0.4385418894591181,0.6130931541358238,0.7512397622107634,0.6501620155192827,0.5733433178385606
8,0.41298052159993365,0.5566750148966492,0.5537289500994618,0.5719237635868041,0.5252050813343322
9,0.40711292818330624,0.5770310721314134,0.7675500322150212,0.5960376618633895,0.7640548566236474
10,0.429432100826362,0.6680331681285575,0.5235698669262345,0.7005173356442951,0.8567439051455347
11,0.4982697606190284,0.8776781013570063,0.778268694011226,1.016962891830282,0.8247878412975669
12,0.6078971549178552,1.091548123473046,0.9232355699396319,1.091548123473046,1.0240267469235702
13,0.7301113851826219,1.140612421766696,0.9068393109921246,1.209445806635623,0.4984667663916298
14,0.8412409215566599,1.252174861788236,1.2108485476948907,1.374666374724034,1.0661097640860098
15,0.9180064681023762,1.344941533155839,1.353651938904567,1.374666374724034,1.359648339764905
16,1.0070019073150092,1.374666374724034,1.1549169121447511,1.374666374724034,1.327054447047018
17,1.125526357316759,1.374666374724034,1.3224819034040012,1.374666374724034,1.3376243672235901
18,1.148095651633824,1.374666374724034,1.3681004774389474,1.374666374724034,1.3634291362854631
19,1.085472630079774,1.374666374724034,1.3667218523368858,1.374666374724034,1.2723023043970567
20,1.0613314035528256,1.374666374724034,1.2998394753078337,1.374666374724034,1.3000263253840378
21,1.0376932496343911,1.374666374724034,1.3352293078051856,1.374666374724034,1.2536050167941777
22,1.0484891037344508,1.374666374724034,1.1823297595301592,1.374666374724034,1.2459520853814678
23,1.1715067867538644,1.374666374724034,1.3593602579366462,1.374666374724034,1.3387692991065556
