,$\overline{I_{pv}}$,"('$I_{pv}$', 'IEEE33', 'PM')","('$I_{pv}$', 'IEEE69', 'Meta')","('$I_{pv}$', 'SA', 'PM')","('$I_{pv}$', 'CA141', 'Meta')"
0,2.0876826722338207e-06,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0
6,0.00013225469728601262,0.0,0.0,0.0,0.0
7,0.03455647181628392,0.001,0.0035374086893257984,0.001,0.00887299054705151
8,0.1616202505219207,0.008941111050304703,0.008964556859471113,0.0029,0.03834667393947073
9,0.3541844467640922,0.06251208260048283,0.030506282981786547,0.0254,0.10302333756594236
10,0.5564767223382046,0.1956442693180415,0.07965544450058652,0.0567,0.08265384379483906
11,0.6862722338204592,0.2760416744704636,0.20064586465024511,0.1104,0.4143390553633532
12,0.7630955114822546,0.3537057277228011,0.5594212213646476,0.1619855598301821,0.2611802440716762
13,0.7798225469728608,0.348652264421374,0.6395520255113106,0.0498,0.3480567947685784
14,0.7026610647181623,0.3001191547609612,0.16866539702914074,0.0889,0.18835756267078993
15,0.5591757828810027,0.2024474068316429,0.13157456206241608,0.0195,0.32300195733088144
16,0.3700343423799577,0.07866890943968856,0.23217770447674135,0.004900000000000001,0.0058936096876764646
17,0.17860375782880997,0.005468848875630213,0.06331967319537378,0.0029,0.014527385272091813
18,0.04583100208768268,0.001,0.0035048221830117753,0.001,0.06202273618884816
19,0.0009551148225469744,0.0,0.0,0.0,0.0
20,1.6701461377870572e-05,0.0,0.0,0.0,0.0
21,9.394572025052194e-06,0.0,0.0,0.0,0.0
22,5.2192066805845514e-06,0.0,0.0,0.0,0.0
23,5.2192066805845514e-06,0.0,0.0,0.0,0.0
