,$p(\overline{DC_{4}})$,"('$p(DC_{4})$', 'IEEE33', 'PM')","('$p(DC_{4})$', 'IEEE69', 'Meta')","('$p(DC_{4})$', 'SA', 'PM')","('$p(DC_{4})$', 'CA141', 'Meta')"
0,0.44530974877867535,0.8187751234555545,0.8187751234555545,0.8187751234555545,0.8187751234555545
1,0.42705192605241643,0.7779313142487535,0.6959010059715534,0.7779313142487535,0.7659697152926919
2,0.47043111821131234,0.002147394684633744,0.8756458724629562,0.002147394684633744,0.7936584407753822
3,0.5,0.9892276535876326,0.1512521879749945,0.9892276535876326,0.7648863094131422
4,0.5,0.9933811488733216,0.9961300137559623,0.9989444542158941,0.924959610199628
5,0.5343460155289679,0.990632075847245,0.9844259494276705,0.9975232550758102,0.93815696850012
6,0.5567045818665214,0.9953774104944347,0.9969876536871404,0.9987249512250432,0.9497670579196181
7,0.5666501810603152,0.996005839825327,0.9998340031447849,0.9984043488099164,0.9886650376158006
8,0.5938233312998366,0.9980471256051994,0.9978333721960991,0.9988496968378066,0.9939102490664854
9,0.6326230755755483,0.9993481883089911,0.999997477723357,0.9996530962409076,0.9999972433142018
10,0.6228301194009296,0.9975414942060788,0.9512244989187153,0.9986376569039882,0.9998888932146215
11,0.5869460187124008,0.993265666513189,0.9821554921789458,0.9979779719920477,0.9888390328371427
12,0.5460679443269733,0.9958141496705194,0.9722824317020629,0.9958141496705194,0.9909041229187869
13,0.5,0.9975422618498649,0.8870216277080554,0.9994885092433615,0.05624520952411821
14,0.5317257452426788,0.9947721741093627,0.9906402728839314,0.9991623460918677,0.940274801424357
15,0.5279402271008035,0.9973685811092073,0.9977192681498007,0.9983915234204636,0.9979343575632377
16,0.5279469089307249,0.9890880382915698,0.8529427225807803,0.9890880382915698,0.9794050787609027
17,0.5258821243248601,0.9439421439181205,0.9021376217644897,0.9439421439181205,0.9162973911340158
18,0.5,0.950921520825745,0.9458550542017214,0.950921520825745,0.9420048662008738
19,0.5,0.9880133871393959,0.9859375594614956,0.9880133871393959,0.9276437363904312
20,0.523986478674156,0.9861959652266045,0.9590020368202128,0.9861959652266045,0.9591065962333178
21,0.5241361104781042,0.9911122015838669,0.9834628918020772,0.9911122015838669,0.9466361435834098
22,0.5,0.9963447123710422,0.8644762866148701,0.9963447123710422,0.9477970458630899
23,0.4539414517351489,0.9711452160257309,0.9563974000343743,0.9711452160257309,0.9290781989627915
