,CB,SOC0,ZB,PB,SOC
0,1.270701923076923,0.8846149825044815,32,0.2252761096336844,0.6981943182339581
1,0.0,0.0,29,0.2765862780690111,0.4661864509480643
2,0.0,0.0,24,0.2753631005058831,0.2352820669131266
3,0.0,0.0,26,0.2102342626871163,0.06196825373538822
4,0.0,0.0,24,0.07750377858351777,0.0
5,0.0,0.0,22,1.018973186943953e-08,0.0
6,0.0,0.0,1,-1.602614159570382,0.9999999683006716
7,0.0,0.0,22,0.3231078880866701,0.7253572136502766
8,0.0,0.0,23,0.3559196419664366,0.4197964664438282
9,0.0,0.0,10,0.2571553134887548,0.2052186896297717
10,0.0,0.0,7,0.152991820675033,0.08082217993409573
11,0.0,0.0,2,0.04121139487597286,0.04812061782627591
12,0.0,0.0,2,0.06040224746778258,3.090152270796181e-08
13,0.0,0.0,1,-1.602614155203626,1.0
14,0.0,0.0,26,0.08545089932176816,0.9315612849607694
15,0.0,0.0,2,-0.08845358324550338,1.0
16,0.0,0.0,6,0.01810608349931864,0.9856998144682798
17,0.0,0.0,30,0.309532109394586,0.7236372754093187
18,0.0,0.0,25,0.4097428627360848,0.3655987690481999
19,0.0,0.0,25,0.4172957660489832,0.0
20,0.0,0.0,1,-1.477386224134225,0.9352729432565567
21,0.0,0.0,23,0.7530085541429934,0.04638409996991679
22,0.0,0.0,1,-1.512544811131293,1.0
23,0.0,0.0,31,0.1422609443600507,0.8846149825044815
