,$x$,F,I/S,Gap,$P_{loss}$,$t[s]$,Inf1,Inf2,$\Pi |x|$
\multirow{5}{*}{IEEE69},$P_{loss}$,REBF,G,$1.39e-01$,$\cellcolor{green}3.5e+00$,$2.16e+04$,$9.44e-07$,$5.3e-06$,$3.78e-07$
,$t[s]$,Meta,GWO_PAR,*,$5.74e+00$,$\cellcolor{green}1.72e+02$,$4.41e-08$,$4.42e-08$,$1.93e-12$
,Inf1,PM,AB,$3.55e-02$,$3.81e+00$,$2.16e+04$,$\cellcolor{green}1.11e-09$,$1.27e-09$,$1.16e-13$
,Inf2,PM,AB,$3.55e-02$,$3.81e+00$,$2.16e+04$,$1.11e-09$,$\cellcolor{green}1.27e-09$,$1.16e-13$
,$\Pi |x|$,PM,AB,$3.55e-02$,$3.81e+00$,$2.16e+04$,$1.11e-09$,$1.27e-09$,$\cellcolor{green}1.16e-13$
