v,ph,pl,ql,pg,qg,t
1,0,0.00367944323431146,0.00241447059597633,1.27438132746499,0.581159639486202,0.0011558
0.998411296495428,-0.000245162030394317,0,0,0,0,0
0.998062019453631,-0.000299164773203919,0,0,0,0,0
0.997908036189778,-0.000322983961314187,0,0,0,0,0
0.997653554250932,-0.000362364119480761,0,0,0,0,0
0.997497233503412,-0.000386563885449684,0,0,0,0,0
0.99728261866539,-0.000419799891420226,0,0,0,0,0
0.997272539325439,-0.000421361985797068,0,0,0,0,0
0.997266945004416,-0.000422229003510549,0,0,0,0,0
0.996974152448711,-0.00046759341223864,0,0,0,0,0
0.997055198286291,-0.000455033430952478,0,0,0,0,0
0.996924574293088,-0.00047527769267618,0,0,0,0,0
0.996883856802302,-0.000481589124434817,0,0,0,0,0
0.996829452535196,-0.000490022734329051,0,0,0,0,0
0.996744263835596,-0.000503230113105444,0,0,0,0,0
0.996725805169383,-0.000506092166138622,0,0,0,0,0
0.996711682813326,-0.000508281916893936,0,0,0,0,0
0.996704880063295,-0.000509336736704177,0,0,0,0,0
0.996696500359928,-0.000510636175706614,0,0,0,0,0
0.996693898346266,-0.000511039673428195,0,0,0,0,0
0.996722899099114,-0.0005065428010726,0,0,0,0,0
0.996570169169757,-0.000530226720183303,0,0,0,0,0
0.996644010236856,-0.000518775494397873,0,0,0,0,0
0.996633523811436,-0.000520401690269903,0,0,0,0,0
0.996630550485749,-0.000520862786085383,0,0,0,0,0
0.996650201702402,-0.000517815485106872,0,0,0,0,0
0.996668595318761,-0.000514963274809902,0,0,0,0,0
0.996613137680635,-0.000523563125965254,0,0,0,0,0
0.996587940768941,-0.000527470751927184,0,0,0,0,0
0.996587175354203,-0.000527589458740483,0,0,0,0,0
0.996581784209158,-0.000528425560763457,0,0,0,0,0
0.996579327692351,-0.000528806539941161,0,0,0,0,0
0.996666139015916,-0.000515344187625759,0,0,0,0,0
0.996714321110893,-0.000507873104020878,0,0,0,0,0
0.996738519263344,-0.000504121261432604,0,0,0,0,0
0.996736090583779,-0.000504497864130153,0,0,0,0,0
0.996742881157365,-0.000503444889052031,0,0,0,0,0
0.996755679903984,-0.000501460482426318,0,0,0,0,0
0.996787847147421,-0.000496473220934599,0,0,0,0,0
0.996810433625047,-0.000492971542061151,0,0,0,0,0
0.996880832126754,-0.000482058188429471,0,0,0,0,0
0.996875111727122,-0.000482945094364038,0,0,0,0,0
0.996927115614997,-0.000474883899212174,0,0,0,0,0
