,dv,dph,dpg,dqg,dpl,dql
PM,1.6891740367069138e-15,4.1145412834564064e-17,6.856369664328238e-14,2.4449255049450116e-14,1.8906854550979024e-15,9.089336099890829e-16
RM,4.3130657101953954e-16,2.0028274227192795e-18,8.553171119450411e-14,4.8165139481622784e-14,5.302710819241876e-16,2.376914412939122e-16
RRM,1.8994518931131254e-18,2.5819303761754847e-19,6.47803026643555e-17,3.853376519841328e-17,1.0332098258135798e-18,5.445672359786132e-19
PBIM,1.6891802154273308e-15,4.1145825948213594e-17,6.856320607616494e-14,2.4449329994703477e-14,1.890592267590338e-15,9.089799943592882e-16
RBIM,4.3130264719039955e-16,2.00268581689118e-18,8.55320129875953e-14,4.816479784133555e-14,5.303046678654863e-16,2.3768106851851977e-16
RRBIM,3.9036736967225975e-12,1.8027154384951911e-13,1.1760754699326844e-10,4.8644918754765404e-11,1.1759341250759003e-10,4.866284157690636e-11
BF,7.775759651759135e-13,0.09554566051842026,2.891640579739694e-12,6.810294202082534e-12,5.0478658238406664e-14,2.7009630475649726e-14
RERCM,7.210427776370641e-12,4.2861973278158304e-14,9.25108423923999e-10,3.9625579669900046e-10,6.111400101949869e-10,2.878323859654592e-10
RERRM,5.131582729520646e-10,0.09554513913343898,5.835534048972433e-08,3.637072760217219e-08,3.849672384121721e-08,2.7920752444397043e-08
RERCBIM,6.4694302807210925e-12,1.2841329749198403e-13,1.2655674466074538e-09,2.617339018986456e-10,6.470992833435551e-10,2.61917362429979e-10
RERRBIM,1.151436917663135e-11,1.7001092180526823e-13,2.1033776499061463e-09,4.4436509448859833e-10,1.0309810729096881e-09,4.4466543089870417e-10
REBF,7.476424550325805e-12,0.09554565902827196,3.317539456367265e-13,1.4020043994669506e-13,4.99084069337024e-14,4.703070065818e-14
MAT,0.0,0.0,0.0,0.0,0.0,0.0
