,$x$,F,I/S,Gap,$P_{loss}$,$t[s]$,Inf1,Inf2,$\Pi |x|$
\multirow{5}{*}{IEEE69},$P_{loss}$,REBF,G,$1.17e-01$,$\cellcolor{green}2.55e+00$,$2.16e+04$,$1.45e-06$,$3.63e-06$,$2.9e-07$
,$t[s]$,Meta,GWO_PAR,*,$4.57e+00$,$\cellcolor{green}1.75e+02$,$4.54e-08$,$4.53e-08$,$1.65e-12$
,Inf1,PM,AB,$0.e+00$,$2.61e+00$,$1.85e+04$,$\cellcolor{green}3.94e-08$,$3.97e-08$,$7.54e-11$
,Inf2,PM,AB,$0.e+00$,$2.61e+00$,$1.85e+04$,$3.94e-08$,$\cellcolor{green}3.97e-08$,$7.54e-11$
,$\Pi |x|$,Meta,GWO_PAR,*,$4.57e+00$,$1.75e+02$,$4.54e-08$,$4.53e-08$,$\cellcolor{green}1.65e-12$
