,$P_{loss}$,$\Sigma p(I_{pv})$,$1/\Sigma p(DC)$,$t[s]$,Inf1,Inf2,$\Pi |x|$
PM,13.17132553405969,0.352147819184936,0.009430230860167565,54.61,8.141587233914887e-06,8.150804431212782e-06,1.585106845551487e-10
REBF,14.93683095285014,0.42996976010574683,0.00874809255473239,41.03800010681152,6.824544954808705e-07,3.0099394708101718e-05,4.7361712483722787e-11
Meta,11.809688961012128,1.3913100066639945,0.010372951406529007,195.0559368,2.2871445157701328e-07,1.420363733346293e-07,1.0799833657926418e-12
