,dv,dph,dpg,dqg,dpl,dql
PM,6.746765422196276e-16,6.282815939580065e-18,5.453106734736049e-16,2.6345303811593443e-16,2.7830476177134588e-14,1.0416575917732486e-14
RM,1.739166369729775e-17,6.382377425009124e-20,1.788589755546423e-17,7.959364707972556e-18,3.727784951681113e-15,1.7567501377994393e-15
RRM,2.1333633846054297e-27,6.120090305246191e-29,1.0188621529418502e-24,2.795570206302879e-26,2.984280525973718e-26,6.911683707184417e-26
PBIM,6.74645381548391e-16,6.282625384659296e-18,5.453023733591237e-16,2.6343644348992326e-16,2.782892545060827e-14,1.0416074816443685e-14
RBIM,1.7392199028698514e-17,6.384216112882007e-20,1.787898271544501e-17,7.959082029466869e-18,3.727808866380618e-15,1.7567903429280062e-15
RRBIM,3.5952023484481294e-13,1.2050918310491915e-14,1.3282849681701394e-11,3.8436949182823654e-12,1.3286872053158952e-11,3.844644848012314e-12
BF,8.641540703026592e-14,0.004823273406421128,1.2785166465208914e-14,6.133702420421402e-15,9.698132801645958e-13,3.192736324636519e-14
RERCM,9.279617307321175e-13,4.4719039971800495e-15,7.773502049749154e-11,3.820552796950961e-11,1.1273714777304723e-10,5.057500947537533e-11
RERRM,1.4337645237685417e-11,0.00482331722598118,6.297964592758109e-10,1.413269171013637e-09,1.0054664584976952e-09,1.6839757751818936e-09
RERCBIM,5.614756630920598e-12,7.985740057704417e-14,6.41257086044782e-10,2.615476651917042e-10,1.1616596955683346e-09,2.6141671945304893e-10
RERRBIM,6.644308616102984e-11,3.8682416444106735e-13,5.434673734862768e-09,2.6995855499038696e-09,8.906422556484105e-09,3.87070712711886e-09
REBF,1.384226174918514e-15,0.0048232723176578375,1.4859927185307886e-13,9.543694217016539e-14,1.491719714390051e-13,9.571492830718663e-14
MAT,0.0,0.0,0.0,0.0,0.0,0.0
