,CB,SOC0,ZB,PB,SOC
0,11.944625,0.01451236430482349,71,0.1733448705477586,0.0
1,0.0,0.0,1,-3.52979126676708,0.2955129283817254
2,0.0,0.0,1,-1.435179074563568,0.4156656380922059
3,0.0,0.0,1,-0.9158923792936877,0.4923438402244246
4,0.0,0.0,1,-0.9688616181656914,0.5734566092302639
5,0.0,0.0,1,-1.549849178901812,0.7032094615314614
6,0.0,0.0,1,-3.545051839980993,1.0
7,0.0,0.0,16,0.8513011795852414,0.9287293613595508
8,0.0,0.0,38,1.525926147611406,0.8009793371966502
9,0.0,0.0,101,1.146874978051242,0.7049633495374732
10,0.0,0.0,102,1.369109951479013,0.590341924603576
11,0.0,0.0,99,1.280609973979868,0.4831296880380869
12,0.0,0.0,94,1.678736950404314,0.342586394830217
13,0.0,0.0,93,2.068786050000758,0.1693883221127605
14,0.0,0.0,94,2.023279887175667,1.005086807056634e-08
15,0.0,0.0,1,-11.944625,1.0
16,0.0,0.0,71,0.4160124889677956,0.9651715842463839
17,0.0,0.0,71,0.9961227053478265,0.8817765261850251
18,0.0,0.0,71,1.789374158599345,0.7319707230959559
19,0.0,0.0,105,1.15406297930108,0.6353529583882715
20,0.0,0.0,103,1.968793714242027,0.4705262104097471
21,0.0,0.0,104,1.935041456044392,0.308525190142259
22,0.0,0.0,104,1.494019194336322,0.1834464053825478
23,0.0,0.0,71,2.017853790567189,0.01451236430482347
