,$x$,F,I/S,$\overline{SSE}$,$t[s]$,Inf1,Inf2,$\Pi |x|$
\multirow{5}{*}{IEEE33},$\overline{SSE}$,RRM,AI,$\cellcolor{green}1.73e-18$,$2.34e-01$,$2.76e-12$,$2.43e-12$,$2.71e-42$
,$t[s]$,MAT,*,$0.e+00$,$\cellcolor{green}1.39e-03$,$2.15e-08$,$2.15e-08$,$0.e+00$
,Inf1,RRM,AI,$1.73e-18$,$2.34e-01$,$\cellcolor{green}2.76e-12$,$2.43e-12$,$2.71e-42$
,Inf2,RRM,AI,$1.73e-18$,$2.34e-01$,$2.76e-12$,$\cellcolor{green}2.43e-12$,$2.71e-42$
,$\Pi |x|$,RRM,AI,$1.73e-18$,$2.34e-01$,$2.76e-12$,$2.43e-12$,$\cellcolor{green}2.71e-42$
