,CB,SOC0,ZB,PB,SOC
0,1.270701923076923,7.811574370926441e-07,22,1.002698464910707e-06,0.0
1,0.0,0.0,11,-6.014424583817185e-08,3.99382907481922e-08
2,0.0,0.0,11,-0.1189638783547494,0.09152536968919533
3,0.0,0.0,6,-0.3249112701921111,0.3326384006751406
4,0.0,0.0,6,-0.3525389728874787,0.5930563845223525
5,0.0,0.0,3,-0.507619463681634,0.9588458546898964
6,0.0,0.0,7,-0.05283274783333147,1.0
7,0.0,0.0,22,0.06111261918615502,0.9513062446155861
8,0.0,0.0,6,-0.06262859916066059,1.0
9,0.0,0.0,22,0.05905219184721139,0.9529682451601531
10,0.0,0.0,22,0.05955161478891343,0.9055337714695915
11,0.0,0.0,7,-0.1228748156581902,0.9999999931208589
12,0.0,0.0,22,0.0754274779097094,0.9397185017663293
13,0.0,0.0,22,0.09725788383535751,0.8616241213660037
14,0.0,0.0,22,0.09166541922198719,0.7881096126450091
15,0.0,0.0,23,0.06836812350856565,0.7335516012721822
16,0.0,0.0,23,0.06844842093405523,0.6789285865190858
17,0.0,0.0,7,-0.2742038911350857,0.8841624077822686
18,0.0,0.0,24,0.1679664784009701,0.747109559208789
19,0.0,0.0,29,0.2177548614508865,0.5672564502111401
20,0.0,0.0,23,0.2211037537082839,0.384482539726792
21,0.0,0.0,31,0.06948575187537712,0.3290195678068731
22,0.0,0.0,28,0.2244596244586208,0.1433132145852302
23,0.0,0.0,28,0.1753306406501692,7.811574370831845e-07
