,dv,dph,dpg,dqg,dpl,dql
PM,0.0,0.0,0.0,0.0,0.0,0.0
REBF,0.17765136526701109,0.5699578016446615,0.04617992584095773,0.01998584471332577,140.8564955890397,0.01998584040603362
Meta,0.5210769807104381,0.2801135131150142,0.28246893118784605,0.15316278644580184,96.2502173155851,0.15316278577593656
