,$P_{loss}$,$t[s]$,Inf1,Inf2,$\Pi |x|$
PM,2.8003338871854453,4482.687,1.05757032026938e-09,1.180026062287962e-09,1.5665674014661154e-14
REBF,3.091861147540346,21601.80100011826,6.724783903806989e-08,2.46656482194834e-06,1.1078496105673446e-08
Meta,4.9169396444884965,306.6068253,2.988853749701339e-08,2.999938080128325e-08,1.3517415120781307e-12
