,$P_{loss}$,$t[s]$,Inf1,Inf2,$\Pi |x|$
PM,2.923311188346709,20.594,17.564870118914584,17.564870118912587,18574.008620033044
RM,2.9233111882892757,18.734,17.564870126805758,17.56487012680409,16896.449344154724
RRM,2.923311192670731,25.469,17.564869820373364,17.56486982037417,22970.836659350058
PBIM,2.9233111883397953,20.235,17.564870118911777,17.56487011890536,18250.221638596922
RBIM,2.9233111882899565,21.063,17.564870126416817,17.564870126412185,18997.00611296
RRBIM,2.923311192897598,17.687,17.564869816141414,17.564869816140085,15952.145267958325
BF,2.9274588102402377,93.74599981307983,17.56486755796135,17.564868733147264,84670.73435913752
RERCM,2.9232032568810826,30.703,17.56490153002662,17.564736540183855,27690.269714440863
RERRM,3.445497016658529,2.0,17.57357723062321,16.370908416169925,1982.507445972591
RERCBIM,2.914538212955719,6.25,17.578792454350943,17.56485711586435,5624.49365356047
RERRBIM,2.9228962202425106,14.625,17.56506468548484,17.564105635725415,13188.186021334177
REBF,2.927459915738753,1.103000164031982,17.564869431584878,17.564870628883565,996.2226589108179
Meta-GA,2.3751542341646488,84.1848798,3.2550959806927626e-08,3.253275033133357e-08,2.1174369707731836e-13
Meta-GWO,2.3172412127836397,98.0772561,2.1405612604490087e-08,2.1383880200852995e-08,1.0402883265346377e-13
Meta-PSO,2.352671632293534,86.5692369,2.7896615433474492e-08,2.7878823830648075e-08,1.5839842839604618e-13
Meta-WOA,2.3366390069837397,98.2641589,2.4901380090737446e-08,2.4878274660841693e-08,1.4224284794808174e-13
