,$x$,F,I/S,$P_{loss}$,$t[s]$,Inf1,Inf2,$\Pi |x|$
\multirow{5}{*}{CA141},$P_{loss}$,PBIM,AB,$\cellcolor{green}8.74e+00$,$2.09e+03$,$9.32e-05$,$9.32e-05$,$1.59e-04$
,$t[s]$,REBF,G,$8.74e+00$,$\cellcolor{green}1.52e+01$,$1.86e-06$,$6.92e-06$,$1.71e-09$
,Inf1,RRM,AB,$8.74e+00$,$4.60e+03$,$\cellcolor{green}3.11e-08$,$3.09e-05$,$3.86e-08$
,Inf2,Meta-PSO,PSO_PAR,$8.81e+00$,$1.28e+02$,$1.84e-07$,$\cellcolor{green}7.62e-08$,$1.58e-11$
,$\Pi |x|$,Meta-GA,GA_PAR,$8.77e+00$,$1.21e+02$,$1.8e-07$,$7.81e-08$,$\cellcolor{green}1.49e-11$
