,dv,dph,dpg,dqg,dpl,dql
PM,0.0,0.0,0.0,0.0,0.0,0.0
REBF,0.0008276398211791952,7.331650621165314e-05,3.0070134680255367e-05,1.2948367466967225e-05,18.104362791154106,1.294836723937334e-05
Meta,0.0006709100037661729,0.00028776061032045533,6.388818860525268e-05,2.7510608588746824e-05,5.9745886070399905,2.751056760351375e-05
