,CB,SOC0,ZB,PB,SOC
0,1.270701923076923,5.564121980271222e-09,12,1.756833420819361e-08,0.0
1,0.0,0.0,1,-1.158766657735007,0.9119106661241032
2,0.0,0.0,31,0.3527312317186554,0.6343229626410037
3,0.0,0.0,39,0.3474240336716946,0.3609118468408484
4,0.0,0.0,43,0.3467449680010611,0.08803513305297549
5,0.0,0.0,1,-1.158835529500949,1.0
6,0.0,0.0,24,1.013169788047812e-07,0.9999999274860862
7,0.0,0.0,31,0.06381511573594073,0.9497795618600074
8,0.0,0.0,18,0.07373928421981465,0.8917492069540023
9,0.0,0.0,11,0.05235399405383447,0.8505483614639058
10,0.0,0.0,19,0.1242560945062089,0.7527629633586739
11,0.0,0.0,38,0.1600560168297019,0.6268042215599121
12,0.0,0.0,21,0.2283168400910478,0.4471264907318594
13,0.0,0.0,34,0.2826854825785601,0.2246624533551428
14,0.0,0.0,41,0.2854789984260026,1.226759827691267e-08
15,0.0,0.0,1,-1.270701923076923,1.0
16,0.0,0.0,23,0.1673669749575844,0.8682877828073954
17,0.0,0.0,42,0.2081194544795472,0.7045047201688921
18,0.0,0.0,42,0.3210411160863337,0.4518560797186529
19,0.0,0.0,33,0.5741743837955398,8.397599825551776e-09
20,0.0,0.0,1,-1.270701923076923,1.0
21,0.0,0.0,20,0.5816622262869984,0.542251251522314
22,0.0,0.0,28,0.4943333083125092,0.1532274411240271
23,0.0,0.0,42,0.194706398734362,5.564121980273881e-09
