,$x$,F,I/S,$\overline{SSE}$,$t[s]$,Inf1,Inf2,$\Pi |x|$
\multirow{5}{*}{IEEE69},$\overline{SSE}$,RRM,AI,$\cellcolor{green}6.5e-18$,$1.31e+00$,$1.48e-10$,$1.30e-10$,$1.65e-37$
,$t[s]$,MAT,*,$0.e+00$,$\cellcolor{green}1.85e-03$,$2.02e-08$,$2.02e-08$,$0.e+00$
,Inf1,RRM,AI,$6.5e-18$,$1.31e+00$,$\cellcolor{green}1.48e-10$,$1.30e-10$,$1.65e-37$
,Inf2,RRM,AI,$6.5e-18$,$1.31e+00$,$1.48e-10$,$\cellcolor{green}1.30e-10$,$1.65e-37$
,$\Pi |x|$,RRM,AI,$6.5e-18$,$1.31e+00$,$1.48e-10$,$1.30e-10$,$\cellcolor{green}1.65e-37$
