,$P_{loss}$,$\Sigma p(I_{pv})$,$1/\Sigma p(DC)$,$t[s]$,Inf1,Inf2,$\Pi |x|$
PM,11.223740239331221,0.2680714823893556,0.009088228386566003,1607.578,6.66273787711222e-06,6.673276128058083e-06,1.954480458424558e-09
REBF,12.072367562872333,0.22549366142796518,0.00870622286168595,339.0060000419617,3.644600116061575e-09,3.6732489325681794e-06,1.0756332008005389e-13
Meta,10.042374194769607,1.6651170805789581,0.00977273843876306,203.0283795,2.641432120338485e-07,1.4866814425536192e-07,1.3029014704208286e-12
