,CB,SOC0,ZB,PB,SOC
0,3.715,0.0,1,-2.464199317148024,0.6633107014857436
1,0.0,0.0,14,1.215062131249385,0.336241490418092
2,0.0,0.0,1,-2.465862924770102,1.0
3,0.0,0.0,28,1.284627332741665,0.6542053074391346
4,0.0,0.0,31,1.087728686647069,0.3614115858279629
5,0.0,0.0,18,0.622431192560078,0.1938661790056851
6,0.0,0.0,11,0.7202128992481841,0.0
7,0.0,0.0,1,-3.424640301543729,0.921841246378687
8,0.0,0.0,7,1.740048989512703,0.4534565970819542
9,0.0,0.0,32,0.8172712997052551,0.2334643247954524
10,0.0,0.0,15,0.5537743915126738,0.08439988711498575
11,0.0,0.0,1,-3.350833518593482,0.9863739073392905
12,0.0,0.0,33,0.8026917708345122,0.7703061380743657
13,0.0,0.0,7,1.530699526529704,0.3582739681565106
14,0.0,0.0,8,1.205145799438633,0.0338740253827304
15,0.0,0.0,1,-3.589158068576507,1.0
16,0.0,0.0,12,0.8052468150117548,0.7832444764637033
17,0.0,0.0,14,0.8992656639933158,0.5411810430818308
18,0.0,0.0,16,0.8905283129518636,0.3014695211277389
19,0.0,0.0,12,1.119959319138081,0.0
20,0.0,0.0,1,-3.715,0.9999999899016305
21,0.0,0.0,12,1.453376677232181,0.6087815073392026
22,0.0,0.0,15,1.138870699158358,0.3022214298732237
23,0.0,0.0,15,1.122752659712413,0.0
