,$P_{loss}$,$\Sigma p(I_{pv})$,$1/\Sigma p(DC)$,$t[s]$,Inf1,Inf2,$\Pi |x|$
PM,0.12584548727670608,0.036748393392999484,0.00873645739925757,13.25,4.790352084678994e-07,4.788391080925326e-07,1.227960206602164e-16
REBF,0.1302149957008908,0.036972853072985784,0.008593944446263843,3.301000118255615,1.2647295144570752e-08,0.1278490185035658,2.208396751529495e-13
Meta,0.10268584547371962,1.7166993424386707,0.009198498820919101,140.3284742,4.009923068082387e-07,3.973720506066977e-07,3.625775769241734e-14
