,$x$,F,I/S,$P_{loss}$,$t[s]$,Inf1,Inf2,$\Pi |x|$
\multirow{5}{*}{IEEE69},$P_{loss}$,PM,AB,$\cellcolor{green}1.23e-01$,$3.6e-01$,$9.46e-08$,$9.46e-08$,$3.97e-16$
,$t[s]$,RM,AB,$1.23e-01$,$\cellcolor{green}3.59e-01$,$8.25e-08$,$8.24e-08$,$3.01e-16$
,Inf1,RRBIM,AB,$1.23e-01$,$8.73e+00$,$\cellcolor{green}1.22e-10$,$6.22e-08$,$8.16e-18$
,Inf2,Meta-WOA,WOA_PAR,$1.26e-01$,$1.83e+01$,$3.01e-10$,$\cellcolor{green}1.94e-10$,$1.35e-19$
,$\Pi |x|$,Meta-PSO,PSO_PAR,$1.24e-01$,$7.73e+00$,$2.97e-10$,$2.09e-10$,$\cellcolor{green}5.93e-20$
