,$x$,F,I/S,$\overline{SSE}$,$t[s]$,Inf1,Inf2,$\Pi |x|$
\multirow{5}{*}{IEEE69},$\overline{SSE}$,RRM,AI,$\cellcolor{green}9.32e-23$,$1.41e+00$,$9.90e-11$,$1.89e-10$,$2.45e-42$
,$t[s]$,REBF,G,$1.72e-03$,$\cellcolor{green}2.20e-02$,$9.46e-07$,$1.49e+01$,$5.33e-10$
,Inf1,RRM,AI,$9.32e-23$,$1.41e+00$,$\cellcolor{green}9.90e-11$,$1.89e-10$,$2.45e-42$
,Inf2,RRM,AI,$9.32e-23$,$1.41e+00$,$9.90e-11$,$\cellcolor{green}1.89e-10$,$2.45e-42$
,$\Pi |x|$,RRM,AI,$9.32e-23$,$1.41e+00$,$9.90e-11$,$1.89e-10$,$\cellcolor{green}2.45e-42$
