,$P_{loss}$,$\Sigma p(I_{pv})$,$1/\Sigma p(DC)$,$t[s]$,Inf1,Inf2,$\Pi |x|$
PM,15.527985572618547,0.40354127996568,0.009237894908100298,2810.265,8.032057483970973e-06,8.028428168560638e-06,1.0490126176058376e-08
REBF,16.107737943881304,0.39667679376641024,0.008947868261607775,1936.74799990654,2.598922619489914e-06,8.85486492807619e-06,2.5482341826264598e-09
Meta,13.871522900135304,1.0466857910432,0.009899641359705565,208.6200549,2.551932074854957e-07,1.370792742655121e-07,1.0489550921029982e-12
